"","EmGroup","Response","Predictor","Std.Estimate","P.Value","Var.9"
"[0.1934,0.296].57","[0.1934,0.296]","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.0778,0.2669,""
"[0.1934,0.296].58","[0.1934,0.296]","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.2484,0,"***"
"[0.1394,0.193).1","[0.1394,0.193)","Consumer_mean_log_z","Emersion.Rate_z",-0.5428,0.0323,"*"
"[0.1394,0.193).2","[0.1394,0.193)","Consumer_mean_log_z","Tile.Type2",-0.304,0.0047,"**"
"[0.1394,0.193).3","[0.1394,0.193)","Barnacles1_mean_z","Emersion.Rate_z",0.1087,0.0282,"*"
"[0.1394,0.193).4","[0.1394,0.193)","Barnacles1_mean_z","Tile.Type2",-0.5143,0,"***"
"[0.1394,0.193).5","[0.1394,0.193)","Barnacles1_mean_z","Consumer_mean_log_z",-0.1295,0.2911,""
"[0.1394,0.193).6","[0.1394,0.193)","Barnacles2_mean_sqrt_z","Emersion.Rate_z",0.8786,6e-04,"***"
"[0.1394,0.193).7","[0.1394,0.193)","Barnacles2_mean_sqrt_z","Tile.Type2",0.0621,0.3008,""
"[0.1394,0.193).8","[0.1394,0.193)","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.025,0.766,""
"[0.1394,0.193).9","[0.1394,0.193)","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.295,0,"***"
"[0.1394,0.193).10","[0.1394,0.193)","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2002,0.0546,""
"[0.1394,0.193).11","[0.1394,0.193)","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.2715,0.0264,"*"
"[0.1394,0.193).12","[0.1394,0.193)","S_mean_log_z","Emersion.Rate_z",-0.261,0,"***"
"[0.1394,0.193).13","[0.1394,0.193)","S_mean_log_z","Tile.Type2",0.4781,0.0151,"*"
"[0.1394,0.193).14","[0.1394,0.193)","S_mean_log_z","Consumer_mean_log_z",-0.2244,0.2318,""
"[0.1394,0.193).15","[0.1394,0.193)","Pielou_mean_z","Emersion.Rate_z",-0.1994,3e-04,"***"
"[0.1394,0.193).16","[0.1394,0.193)","Pielou_mean_z","Tile.Type2",0.3549,0.0284,"*"
"[0.1394,0.193).17","[0.1394,0.193)","Pielou_mean_z","Consumer_mean_log_z",0.0652,0.6934,""
"[0.1394,0.193).18","[0.1394,0.193)","Pop_stab_log_z","Emersion.Rate_z",0.0491,0.3332,""
"[0.1394,0.193).19","[0.1394,0.193)","Pop_stab_log_z","Tile.Type2",0.4,8e-04,"***"
"[0.1394,0.193).20","[0.1394,0.193)","Pop_stab_log_z","S_mean_log_z",-0.1848,0.0107,"*"
"[0.1394,0.193).21","[0.1394,0.193)","Pop_stab_log_z","Pielou_mean_z",-0.019,0.8118,""
"[0.1394,0.193).22","[0.1394,0.193)","Pop_stab_log_z","Barnacles1_mean_z",-0.1868,0.0345,"*"
"[0.1394,0.193).23","[0.1394,0.193)","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.327,0.0037,"**"
"[0.1394,0.193).24","[0.1394,0.193)","Pop_stab_log_z","Consumer_mean_log_z",-0.003,0.9753,""
"[0.1394,0.193).25","[0.1394,0.193)","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.5211,0,"***"
"[0.1394,0.193).26","[0.1394,0.193)","Asynchrony_corr_time_z","Emersion.Rate_z",-0.1642,0.0227,"*"
"[0.1394,0.193).27","[0.1394,0.193)","Asynchrony_corr_time_z","Tile.Type2",-0.1323,0.34,""
"[0.1394,0.193).28","[0.1394,0.193)","Asynchrony_corr_time_z","S_mean_log_z",0.2578,0.007,"**"
"[0.1394,0.193).29","[0.1394,0.193)","Asynchrony_corr_time_z","Pielou_mean_z",-0.1928,0.072,""
"[0.1394,0.193).30","[0.1394,0.193)","Asynchrony_corr_time_z","Barnacles1_mean_z",0.373,0.0033,"**"
"[0.1394,0.193).31","[0.1394,0.193)","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.2739,0.0715,""
"[0.1394,0.193).32","[0.1394,0.193)","Asynchrony_corr_time_z","Consumer_mean_log_z",-0.031,0.8092,""
"[0.1394,0.193).33","[0.1394,0.193)","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.1901,0.1619,""
"[0.1394,0.193).34","[0.1394,0.193)","Statistical_averaging_z","Emersion.Rate_z",-0.0652,0.2635,""
"[0.1394,0.193).35","[0.1394,0.193)","Statistical_averaging_z","Tile.Type2",-0.2547,0.2745,""
"[0.1394,0.193).36","[0.1394,0.193)","Statistical_averaging_z","S_mean_log_z",0.1984,0.0097,"**"
"[0.1394,0.193).37","[0.1394,0.193)","Statistical_averaging_z","Pielou_mean_z",0.3333,5e-04,"***"
"[0.1394,0.193).38","[0.1394,0.193)","Statistical_averaging_z","Barnacles1_mean_z",-0.0878,0.3698,""
"[0.1394,0.193).39","[0.1394,0.193)","Statistical_averaging_z","Barnacles2_mean_sqrt_z",0.0313,0.7987,""
"[0.1394,0.193).40","[0.1394,0.193)","Statistical_averaging_z","Consumer_mean_log_z",0.21,0.0562,""
"[0.1394,0.193).41","[0.1394,0.193)","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0596,0.5879,""
"[0.1394,0.193).42","[0.1394,0.193)","Compositional_similarity_z","Emersion.Rate_z",0.0822,0.0829,""
"[0.1394,0.193).43","[0.1394,0.193)","Compositional_similarity_z","Tile.Type2",0.0257,0.8125,""
"[0.1394,0.193).44","[0.1394,0.193)","Compositional_similarity_z","Asynchrony_corr_time_z",0.0924,0.3076,""
"[0.1394,0.193).45","[0.1394,0.193)","Compositional_similarity_z","Pop_stab_log_z",0.2561,0.0357,"*"
"[0.1394,0.193).46","[0.1394,0.193)","Compositional_similarity_z","Statistical_averaging_z",-0.0452,0.6905,""
"[0.1394,0.193).47","[0.1394,0.193)","Compositional_similarity_z","S_mean_log_z",-0.0875,0.2368,""
"[0.1394,0.193).48","[0.1394,0.193)","Compositional_similarity_z","Pielou_mean_z",-0.0481,0.5536,""
"[0.1394,0.193).49","[0.1394,0.193)","Compositional_similarity_z","Barnacles1_mean_z",0.1913,0.0296,"*"
"[0.1394,0.193).50","[0.1394,0.193)","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.4932,0,"***"
"[0.1394,0.193).51","[0.1394,0.193)","Compositional_similarity_z","Consumer_mean_log_z",0.239,0.0092,"**"
"[0.1394,0.193).52","[0.1394,0.193)","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.3222,0.0055,"**"
"[0.1394,0.193).53","[0.1394,0.193)","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0298,0.5377,""
"[0.1394,0.193).54","[0.1394,0.193)","Cover_stability_alpha_res_log_z","Tile.Type2",0.1216,0.1516,""
"[0.1394,0.193).55","[0.1394,0.193)","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.2959,0.0012,"**"
"[0.1394,0.193).56","[0.1394,0.193)","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.0859,0.4159,""
"[0.1394,0.193).57","[0.1394,0.193)","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.0967,0.2669,""
"[0.1394,0.193).58","[0.1394,0.193)","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.5408,0,"***"
"[0.0664,0.139).1","[0.0664,0.139)","Consumer_mean_log_z","Emersion.Rate_z",0.5331,0.0056,"**"
"[0.0664,0.139).2","[0.0664,0.139)","Consumer_mean_log_z","Tile.Type2",-0.2396,0.0047,"**"
"[0.0664,0.139).3","[0.0664,0.139)","Barnacles1_mean_z","Emersion.Rate_z",0.1315,0.0282,"*"
"[0.0664,0.139).4","[0.0664,0.139)","Barnacles1_mean_z","Tile.Type2",-0.4484,0,"***"
"[0.0664,0.139).5","[0.0664,0.139)","Barnacles1_mean_z","Consumer_mean_log_z",-0.1432,0.2911,""
"[0.0664,0.139).6","[0.0664,0.139)","Barnacles2_mean_sqrt_z","Emersion.Rate_z",0.1611,0.5861,""
"[0.0664,0.139).7","[0.0664,0.139)","Barnacles2_mean_sqrt_z","Tile.Type2",0.075,0.3008,""
"[0.0664,0.139).8","[0.0664,0.139)","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.0383,0.766,""
"[0.0664,0.139).9","[0.0664,0.139)","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.4094,0,"***"
"[0.0664,0.139).10","[0.0664,0.139)","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2003,0.0546,""
"[0.0664,0.139).11","[0.0664,0.139)","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.3446,0.0264,"*"
"[0.0664,0.139).12","[0.0664,0.139)","S_mean_log_z","Emersion.Rate_z",-0.1481,0,"***"
"[0.0664,0.139).13","[0.0664,0.139)","S_mean_log_z","Tile.Type2",0.6574,0.0037,"**"
"[0.0664,0.139).14","[0.0664,0.139)","S_mean_log_z","Consumer_mean_log_z",-0.1165,0.2318,""
"[0.0664,0.139).15","[0.0664,0.139)","Pielou_mean_z","Emersion.Rate_z",-0.1536,3e-04,"***"
"[0.0664,0.139).16","[0.0664,0.139)","Pielou_mean_z","Tile.Type2",0.197,0.0284,"*"
"[0.0664,0.139).17","[0.0664,0.139)","Pielou_mean_z","Consumer_mean_log_z",0.0459,0.6934,""
"[0.0664,0.139).18","[0.0664,0.139)","Pop_stab_log_z","Emersion.Rate_z",0.0779,0.3332,""
"[0.0664,0.139).19","[0.0664,0.139)","Pop_stab_log_z","Tile.Type2",0.4569,8e-04,"***"
"[0.0664,0.139).20","[0.0664,0.139)","Pop_stab_log_z","S_mean_log_z",-0.5161,0.0107,"*"
"[0.0664,0.139).21","[0.0664,0.139)","Pop_stab_log_z","Pielou_mean_z",-0.0391,0.8118,""
"[0.0664,0.139).22","[0.0664,0.139)","Pop_stab_log_z","Barnacles1_mean_z",-0.2448,0.0345,"*"
"[0.0664,0.139).23","[0.0664,0.139)","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.309,0.0037,"**"
"[0.0664,0.139).24","[0.0664,0.139)","Pop_stab_log_z","Consumer_mean_log_z",-0.0044,0.9753,""
"[0.0664,0.139).25","[0.0664,0.139)","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.595,0,"***"
"[0.0664,0.139).26","[0.0664,0.139)","Asynchrony_corr_time_z","Emersion.Rate_z",-0.2721,0.0227,"*"
"[0.0664,0.139).27","[0.0664,0.139)","Asynchrony_corr_time_z","Tile.Type2",-0.158,0.34,""
"[0.0664,0.139).28","[0.0664,0.139)","Asynchrony_corr_time_z","S_mean_log_z",0.7529,0.007,"**"
"[0.0664,0.139).29","[0.0664,0.139)","Asynchrony_corr_time_z","Pielou_mean_z",-0.4147,0.072,""
"[0.0664,0.139).30","[0.0664,0.139)","Asynchrony_corr_time_z","Barnacles1_mean_z",0.511,0.0033,"**"
"[0.0664,0.139).31","[0.0664,0.139)","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.2706,0.0715,""
"[0.0664,0.139).32","[0.0664,0.139)","Asynchrony_corr_time_z","Consumer_mean_log_z",-0.0469,0.8092,""
"[0.0664,0.139).33","[0.0664,0.139)","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.227,0.1619,""
"[0.0664,0.139).34","[0.0664,0.139)","Statistical_averaging_z","Emersion.Rate_z",-0.0676,0.2635,""
"[0.0664,0.139).35","[0.0664,0.139)","Statistical_averaging_z","Tile.Type2",0.4328,0.1123,""
"[0.0664,0.139).36","[0.0664,0.139)","Statistical_averaging_z","S_mean_log_z",0.3628,0.0097,"**"
"[0.0664,0.139).37","[0.0664,0.139)","Statistical_averaging_z","Pielou_mean_z",0.4491,5e-04,"***"
"[0.0664,0.139).38","[0.0664,0.139)","Statistical_averaging_z","Barnacles1_mean_z",-0.0754,0.3698,""
"[0.0664,0.139).39","[0.0664,0.139)","Statistical_averaging_z","Barnacles2_mean_sqrt_z",0.0194,0.7987,""
"[0.0664,0.139).40","[0.0664,0.139)","Statistical_averaging_z","Consumer_mean_log_z",0.1993,0.0562,""
"[0.0664,0.139).41","[0.0664,0.139)","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0446,0.5879,""
"[0.0664,0.139).42","[0.0664,0.139)","Compositional_similarity_z","Emersion.Rate_z",0.0818,0.0829,""
"[0.0664,0.139).43","[0.0664,0.139)","Compositional_similarity_z","Tile.Type2",0.0184,0.8125,""
"[0.0664,0.139).44","[0.0664,0.139)","Compositional_similarity_z","Asynchrony_corr_time_z",0.0555,0.3076,""
"[0.0664,0.139).45","[0.0664,0.139)","Compositional_similarity_z","Pop_stab_log_z",0.1608,0.0357,"*"
"[0.0664,0.139).46","[0.0664,0.139)","Compositional_similarity_z","Statistical_averaging_z",-0.0433,0.6905,""
"[0.0664,0.139).47","[0.0664,0.139)","Compositional_similarity_z","S_mean_log_z",-0.1534,0.2368,""
"[0.0664,0.139).48","[0.0664,0.139)","Compositional_similarity_z","Pielou_mean_z",-0.0622,0.5536,""
"[0.0664,0.139).49","[0.0664,0.139)","Compositional_similarity_z","Barnacles1_mean_z",0.1574,0.0296,"*"
"[0.0664,0.139).50","[0.0664,0.139)","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.2927,0,"***"
"[0.0664,0.139).51","[0.0664,0.139)","Compositional_similarity_z","Consumer_mean_log_z",0.2175,0.0092,"**"
"[0.0664,0.139).52","[0.0664,0.139)","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.231,0.0055,"**"
"[0.0664,0.139).53","[0.0664,0.139)","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0522,0.5377,""
"[0.0664,0.139).54","[0.0664,0.139)","Cover_stability_alpha_res_log_z","Tile.Type2",0.1538,0.1516,""
"[0.0664,0.139).55","[0.0664,0.139)","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.3132,0.0012,"**"
"[0.0664,0.139).56","[0.0664,0.139)","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.0951,0.4159,""
"[0.0664,0.139).57","[0.0664,0.139)","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.1633,0.2669,""
"[0.0664,0.139).58","[0.0664,0.139)","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.9529,0,"***"
