"","EmGroup","Response","Predictor","Std.Estimate","P.Value","Var.9"
"[0.383,0.589].32","[0.383,0.589]","Asynchrony_corr_time_z","Consumer_mean_log_z",-0.0094,0.8092,""
"[0.383,0.589].33","[0.383,0.589]","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.1291,0.1619,""
"[0.383,0.589].34","[0.383,0.589]","Statistical_averaging_z","Emersion.Rate_z",-0.1568,0.2635,""
"[0.383,0.589].35","[0.383,0.589]","Statistical_averaging_z","Tile.Type2",0.3032,0.4322,""
"[0.383,0.589].36","[0.383,0.589]","Statistical_averaging_z","S_mean_log_z",0.2029,0.0097,"**"
"[0.383,0.589].37","[0.383,0.589]","Statistical_averaging_z","Pielou_mean_z",0.3622,5e-04,"***"
"[0.383,0.589].38","[0.383,0.589]","Statistical_averaging_z","Barnacles1_mean_z",-0.1309,0.3698,""
"[0.383,0.589].39","[0.383,0.589]","Statistical_averaging_z","Barnacles2_mean_sqrt_z",0.0187,0.7987,""
"[0.383,0.589].40","[0.383,0.589]","Statistical_averaging_z","Consumer_mean_log_z",0.1061,0.0562,""
"[0.383,0.589].41","[0.383,0.589]","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0673,0.5879,""
"[0.383,0.589].42","[0.383,0.589]","Compositional_similarity_z","Emersion.Rate_z",0.3469,0.0829,""
"[0.383,0.589].43","[0.383,0.589]","Compositional_similarity_z","Tile.Type2",0.0545,0.8125,""
"[0.383,0.589].44","[0.383,0.589]","Compositional_similarity_z","Asynchrony_corr_time_z",0.2692,0.3076,""
"[0.383,0.589].45","[0.383,0.589]","Compositional_similarity_z","Pop_stab_log_z",0.668,0.0357,"*"
"[0.383,0.589].46","[0.383,0.589]","Compositional_similarity_z","Statistical_averaging_z",-0.0792,0.6905,""
"[0.383,0.589].47","[0.383,0.589]","Compositional_similarity_z","S_mean_log_z",-0.1568,0.2368,""
"[0.383,0.589].48","[0.383,0.589]","Compositional_similarity_z","Pielou_mean_z",-0.0916,0.5536,""
"[0.383,0.589].49","[0.383,0.589]","Compositional_similarity_z","Barnacles1_mean_z",0.4996,0.0296,"*"
"[0.383,0.589].50","[0.383,0.589]","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.5175,0,"***"
"[0.383,0.589].51","[0.383,0.589]","Compositional_similarity_z","Consumer_mean_log_z",0.2117,0.0092,"**"
"[0.383,0.589].52","[0.383,0.589]","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.6374,0.0055,"**"
"[0.383,0.589].53","[0.383,0.589]","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0576,0.5377,""
"[0.383,0.589].54","[0.383,0.589]","Cover_stability_alpha_res_log_z","Tile.Type2",0.1187,0.1516,""
"[0.383,0.589].55","[0.383,0.589]","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.3962,0.0012,"**"
"[0.383,0.589].56","[0.383,0.589]","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.1029,0.4159,""
"[0.383,0.589].57","[0.383,0.589]","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.0778,0.2669,""
"[0.383,0.589].58","[0.383,0.589]","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.2484,0,"***"
"[0.274,0.383).1","[0.274,0.383)","Consumer_mean_log_z","Emersion.Rate_z",-0.5428,0.0323,"*"
"[0.274,0.383).2","[0.274,0.383)","Consumer_mean_log_z","Tile.Type2",-0.304,0.0047,"**"
"[0.274,0.383).3","[0.274,0.383)","Barnacles1_mean_z","Emersion.Rate_z",0.1087,0.0282,"*"
"[0.274,0.383).4","[0.274,0.383)","Barnacles1_mean_z","Tile.Type2",-0.5143,0,"***"
"[0.274,0.383).5","[0.274,0.383)","Barnacles1_mean_z","Consumer_mean_log_z",-0.1295,0.2911,""
"[0.274,0.383).6","[0.274,0.383)","Barnacles2_mean_sqrt_z","Emersion.Rate_z",0.8786,6e-04,"***"
"[0.274,0.383).7","[0.274,0.383)","Barnacles2_mean_sqrt_z","Tile.Type2",0.0621,0.3008,""
"[0.274,0.383).8","[0.274,0.383)","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.025,0.766,""
"[0.274,0.383).9","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.295,0,"***"
"[0.274,0.383).10","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2002,0.0546,""
"[0.274,0.383).11","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.2715,0.0264,"*"
"[0.274,0.383).12","[0.274,0.383)","S_mean_log_z","Emersion.Rate_z",-0.261,0,"***"
"[0.274,0.383).13","[0.274,0.383)","S_mean_log_z","Tile.Type2",0.4781,0.0151,"*"
"[0.274,0.383).14","[0.274,0.383)","S_mean_log_z","Consumer_mean_log_z",-0.2244,0.2318,""
"[0.274,0.383).15","[0.274,0.383)","Pielou_mean_z","Emersion.Rate_z",-0.1994,3e-04,"***"
"[0.274,0.383).16","[0.274,0.383)","Pielou_mean_z","Tile.Type2",0.3549,0.0284,"*"
"[0.274,0.383).17","[0.274,0.383)","Pielou_mean_z","Consumer_mean_log_z",0.0652,0.6934,""
"[0.274,0.383).18","[0.274,0.383)","Pop_stab_log_z","Emersion.Rate_z",0.0491,0.3332,""
"[0.274,0.383).19","[0.274,0.383)","Pop_stab_log_z","Tile.Type2",0.4,8e-04,"***"
"[0.274,0.383).20","[0.274,0.383)","Pop_stab_log_z","S_mean_log_z",-0.1848,0.0107,"*"
"[0.274,0.383).21","[0.274,0.383)","Pop_stab_log_z","Pielou_mean_z",-0.019,0.8118,""
"[0.274,0.383).22","[0.274,0.383)","Pop_stab_log_z","Barnacles1_mean_z",-0.1868,0.0345,"*"
"[0.274,0.383).23","[0.274,0.383)","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.327,0.0037,"**"
"[0.274,0.383).24","[0.274,0.383)","Pop_stab_log_z","Consumer_mean_log_z",-0.003,0.9753,""
"[0.274,0.383).25","[0.274,0.383)","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.5211,0,"***"
"[0.274,0.383).26","[0.274,0.383)","Asynchrony_corr_time_z","Emersion.Rate_z",-0.1642,0.0227,"*"
"[0.274,0.383).27","[0.274,0.383)","Asynchrony_corr_time_z","Tile.Type2",-0.1323,0.34,""
"[0.274,0.383).28","[0.274,0.383)","Asynchrony_corr_time_z","S_mean_log_z",0.2578,0.007,"**"
"[0.274,0.383).29","[0.274,0.383)","Asynchrony_corr_time_z","Pielou_mean_z",-0.1928,0.072,""
"[0.274,0.383).30","[0.274,0.383)","Asynchrony_corr_time_z","Barnacles1_mean_z",0.373,0.0033,"**"
"[0.274,0.383).31","[0.274,0.383)","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.2739,0.0715,""
"[0.274,0.383).32","[0.274,0.383)","Asynchrony_corr_time_z","Consumer_mean_log_z",-0.031,0.8092,""
"[0.274,0.383).33","[0.274,0.383)","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.1901,0.1619,""
"[0.274,0.383).34","[0.274,0.383)","Statistical_averaging_z","Emersion.Rate_z",-0.0652,0.2635,""
"[0.274,0.383).35","[0.274,0.383)","Statistical_averaging_z","Tile.Type2",-0.2547,0.2745,""
"[0.274,0.383).36","[0.274,0.383)","Statistical_averaging_z","S_mean_log_z",0.1984,0.0097,"**"
"[0.274,0.383).37","[0.274,0.383)","Statistical_averaging_z","Pielou_mean_z",0.3333,5e-04,"***"
"[0.274,0.383).38","[0.274,0.383)","Statistical_averaging_z","Barnacles1_mean_z",-0.0878,0.3698,""
"[0.274,0.383).39","[0.274,0.383)","Statistical_averaging_z","Barnacles2_mean_sqrt_z",0.0313,0.7987,""
"[0.274,0.383).40","[0.274,0.383)","Statistical_averaging_z","Consumer_mean_log_z",0.21,0.0562,""
"[0.274,0.383).41","[0.274,0.383)","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0596,0.5879,""
"[0.274,0.383).42","[0.274,0.383)","Compositional_similarity_z","Emersion.Rate_z",0.0822,0.0829,""
"[0.274,0.383).43","[0.274,0.383)","Compositional_similarity_z","Tile.Type2",0.0257,0.8125,""
"[0.274,0.383).44","[0.274,0.383)","Compositional_similarity_z","Asynchrony_corr_time_z",0.0924,0.3076,""
"[0.274,0.383).45","[0.274,0.383)","Compositional_similarity_z","Pop_stab_log_z",0.2561,0.0357,"*"
"[0.274,0.383).46","[0.274,0.383)","Compositional_similarity_z","Statistical_averaging_z",-0.0452,0.6905,""
"[0.274,0.383).47","[0.274,0.383)","Compositional_similarity_z","S_mean_log_z",-0.0875,0.2368,""
"[0.274,0.383).48","[0.274,0.383)","Compositional_similarity_z","Pielou_mean_z",-0.0481,0.5536,""
"[0.274,0.383).49","[0.274,0.383)","Compositional_similarity_z","Barnacles1_mean_z",0.1913,0.0296,"*"
"[0.274,0.383).50","[0.274,0.383)","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.4932,0,"***"
"[0.274,0.383).51","[0.274,0.383)","Compositional_similarity_z","Consumer_mean_log_z",0.239,0.0092,"**"
"[0.274,0.383).52","[0.274,0.383)","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.3222,0.0055,"**"
"[0.274,0.383).53","[0.274,0.383)","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0298,0.5377,""
"[0.274,0.383).54","[0.274,0.383)","Cover_stability_alpha_res_log_z","Tile.Type2",0.1216,0.1516,""
"[0.274,0.383).55","[0.274,0.383)","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.2959,0.0012,"**"
"[0.274,0.383).56","[0.274,0.383)","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.0859,0.4159,""
"[0.274,0.383).57","[0.274,0.383)","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.0967,0.2669,""
"[0.274,0.383).58","[0.274,0.383)","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.5408,0,"***"
"[0.126,0.274).1","[0.126,0.274)","Consumer_mean_log_z","Emersion.Rate_z",0.5331,0.0056,"**"
"[0.126,0.274).2","[0.126,0.274)","Consumer_mean_log_z","Tile.Type2",-0.2396,0.0047,"**"
"[0.126,0.274).3","[0.126,0.274)","Barnacles1_mean_z","Emersion.Rate_z",0.1315,0.0282,"*"
"[0.126,0.274).4","[0.126,0.274)","Barnacles1_mean_z","Tile.Type2",-0.4484,0,"***"
"[0.126,0.274).5","[0.126,0.274)","Barnacles1_mean_z","Consumer_mean_log_z",-0.1432,0.2911,""
"[0.126,0.274).6","[0.126,0.274)","Barnacles2_mean_sqrt_z","Emersion.Rate_z",0.1611,0.5861,""
"[0.126,0.274).7","[0.126,0.274)","Barnacles2_mean_sqrt_z","Tile.Type2",0.075,0.3008,""
"[0.126,0.274).8","[0.126,0.274)","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.0383,0.766,""
"[0.126,0.274).9","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.4094,0,"***"
"[0.126,0.274).10","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2003,0.0546,""
"[0.126,0.274).11","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.3446,0.0264,"*"
"[0.126,0.274).12","[0.126,0.274)","S_mean_log_z","Emersion.Rate_z",-0.1481,0,"***"
"[0.126,0.274).13","[0.126,0.274)","S_mean_log_z","Tile.Type2",0.6574,0.0037,"**"
"[0.126,0.274).14","[0.126,0.274)","S_mean_log_z","Consumer_mean_log_z",-0.1165,0.2318,""
"[0.126,0.274).15","[0.126,0.274)","Pielou_mean_z","Emersion.Rate_z",-0.1536,3e-04,"***"
"[0.126,0.274).16","[0.126,0.274)","Pielou_mean_z","Tile.Type2",0.197,0.0284,"*"
"[0.126,0.274).17","[0.126,0.274)","Pielou_mean_z","Consumer_mean_log_z",0.0459,0.6934,""
"[0.126,0.274).18","[0.126,0.274)","Pop_stab_log_z","Emersion.Rate_z",0.0779,0.3332,""
"[0.126,0.274).19","[0.126,0.274)","Pop_stab_log_z","Tile.Type2",0.4569,8e-04,"***"
"[0.126,0.274).20","[0.126,0.274)","Pop_stab_log_z","S_mean_log_z",-0.5161,0.0107,"*"
"[0.126,0.274).21","[0.126,0.274)","Pop_stab_log_z","Pielou_mean_z",-0.0391,0.8118,""
"[0.126,0.274).22","[0.126,0.274)","Pop_stab_log_z","Barnacles1_mean_z",-0.2448,0.0345,"*"
"[0.126,0.274).23","[0.126,0.274)","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.309,0.0037,"**"
"[0.126,0.274).24","[0.126,0.274)","Pop_stab_log_z","Consumer_mean_log_z",-0.0044,0.9753,""
"[0.126,0.274).25","[0.126,0.274)","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.595,0,"***"
"[0.126,0.274).26","[0.126,0.274)","Asynchrony_corr_time_z","Emersion.Rate_z",-0.2721,0.0227,"*"
"[0.126,0.274).27","[0.126,0.274)","Asynchrony_corr_time_z","Tile.Type2",-0.158,0.34,""
"[0.126,0.274).28","[0.126,0.274)","Asynchrony_corr_time_z","S_mean_log_z",0.7529,0.007,"**"
"[0.126,0.274).29","[0.126,0.274)","Asynchrony_corr_time_z","Pielou_mean_z",-0.4147,0.072,""
"[0.126,0.274).30","[0.126,0.274)","Asynchrony_corr_time_z","Barnacles1_mean_z",0.511,0.0033,"**"
"[0.126,0.274).31","[0.126,0.274)","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.2706,0.0715,""
"[0.126,0.274).32","[0.126,0.274)","Asynchrony_corr_time_z","Consumer_mean_log_z",-0.0469,0.8092,""
"[0.126,0.274).33","[0.126,0.274)","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.227,0.1619,""
"[0.126,0.274).34","[0.126,0.274)","Statistical_averaging_z","Emersion.Rate_z",-0.0676,0.2635,""
"[0.126,0.274).35","[0.126,0.274)","Statistical_averaging_z","Tile.Type2",0.4328,0.1123,""
"[0.126,0.274).36","[0.126,0.274)","Statistical_averaging_z","S_mean_log_z",0.3628,0.0097,"**"
"[0.126,0.274).37","[0.126,0.274)","Statistical_averaging_z","Pielou_mean_z",0.4491,5e-04,"***"
"[0.126,0.274).38","[0.126,0.274)","Statistical_averaging_z","Barnacles1_mean_z",-0.0754,0.3698,""
"[0.126,0.274).39","[0.126,0.274)","Statistical_averaging_z","Barnacles2_mean_sqrt_z",0.0194,0.7987,""
"[0.126,0.274).40","[0.126,0.274)","Statistical_averaging_z","Consumer_mean_log_z",0.1993,0.0562,""
"[0.126,0.274).41","[0.126,0.274)","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0446,0.5879,""
"[0.126,0.274).42","[0.126,0.274)","Compositional_similarity_z","Emersion.Rate_z",0.0818,0.0829,""
"[0.126,0.274).43","[0.126,0.274)","Compositional_similarity_z","Tile.Type2",0.0184,0.8125,""
"[0.126,0.274).44","[0.126,0.274)","Compositional_similarity_z","Asynchrony_corr_time_z",0.0555,0.3076,""
"[0.126,0.274).45","[0.126,0.274)","Compositional_similarity_z","Pop_stab_log_z",0.1608,0.0357,"*"
"[0.126,0.274).46","[0.126,0.274)","Compositional_similarity_z","Statistical_averaging_z",-0.0433,0.6905,""
"[0.126,0.274).47","[0.126,0.274)","Compositional_similarity_z","S_mean_log_z",-0.1534,0.2368,""
"[0.126,0.274).48","[0.126,0.274)","Compositional_similarity_z","Pielou_mean_z",-0.0622,0.5536,""
"[0.126,0.274).49","[0.126,0.274)","Compositional_similarity_z","Barnacles1_mean_z",0.1574,0.0296,"*"
"[0.126,0.274).50","[0.126,0.274)","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.2927,0,"***"
"[0.126,0.274).51","[0.126,0.274)","Compositional_similarity_z","Consumer_mean_log_z",0.2175,0.0092,"**"
"[0.126,0.274).52","[0.126,0.274)","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.231,0.0055,"**"
"[0.126,0.274).53","[0.126,0.274)","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0522,0.5377,""
"[0.126,0.274).54","[0.126,0.274)","Cover_stability_alpha_res_log_z","Tile.Type2",0.1538,0.1516,""
"[0.126,0.274).55","[0.126,0.274)","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.3132,0.0012,"**"
"[0.126,0.274).56","[0.126,0.274)","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.0951,0.4159,""
"[0.126,0.274).57","[0.126,0.274)","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.1633,0.2669,""
"[0.126,0.274).58","[0.126,0.274)","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.9529,0,"***"
