"","EmGroup","Response","Predictor","Std.Estimate","P.Value","Var.9"
"[0.383,0.589].31","[0.383,0.589]","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.0984,0.0727,""
"[0.383,0.589].32","[0.383,0.589]","Asynchrony_corr_time_z","Limpet_mean_log_z",-0.0093,0.8098,""
"[0.383,0.589].33","[0.383,0.589]","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.1284,0.1615,""
"[0.383,0.589].34","[0.383,0.589]","Statistical_averaging_z","Emersion.Rate_z",-0.1653,0.2302,""
"[0.383,0.589].35","[0.383,0.589]","Statistical_averaging_z","Tile.Type2",0.303,0.4315,""
"[0.383,0.589].36","[0.383,0.589]","Statistical_averaging_z","S_mean_log_z",0.2051,0.0086,"**"
"[0.383,0.589].37","[0.383,0.589]","Statistical_averaging_z","Pielou_mean_z",0.3571,6e-04,"***"
"[0.383,0.589].38","[0.383,0.589]","Statistical_averaging_z","Barnacles1_mean_z",-0.1168,0.421,""
"[0.383,0.589].39","[0.383,0.589]","Statistical_averaging_z","Barnacles2_mean_sqrt_z",0.0243,0.7396,""
"[0.383,0.589].40","[0.383,0.589]","Statistical_averaging_z","Limpet_mean_log_z",0.1153,0.036,"*"
"[0.383,0.589].41","[0.383,0.589]","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0695,0.5702,""
"[0.383,0.589].42","[0.383,0.589]","Compositional_similarity_z","Emersion.Rate_z",0.3223,0.1024,""
"[0.383,0.589].43","[0.383,0.589]","Compositional_similarity_z","Tile.Type2",0.0762,0.7409,""
"[0.383,0.589].44","[0.383,0.589]","Compositional_similarity_z","Asynchrony_corr_time_z",0.2728,0.2984,""
"[0.383,0.589].45","[0.383,0.589]","Compositional_similarity_z","Pop_stab_log_z",0.6566,0.0375,"*"
"[0.383,0.589].46","[0.383,0.589]","Compositional_similarity_z","Statistical_averaging_z",-0.1012,0.6117,""
"[0.383,0.589].47","[0.383,0.589]","Compositional_similarity_z","S_mean_log_z",-0.1539,0.2423,""
"[0.383,0.589].48","[0.383,0.589]","Compositional_similarity_z","Pielou_mean_z",-0.0911,0.5539,""
"[0.383,0.589].49","[0.383,0.589]","Compositional_similarity_z","Barnacles1_mean_z",0.5209,0.023,"*"
"[0.383,0.589].50","[0.383,0.589]","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.5279,0,"***"
"[0.383,0.589].51","[0.383,0.589]","Compositional_similarity_z","Limpet_mean_log_z",0.2217,0.0063,"**"
"[0.383,0.589].52","[0.383,0.589]","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.6415,0.0048,"**"
"[0.383,0.589].53","[0.383,0.589]","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0576,0.5377,""
"[0.383,0.589].54","[0.383,0.589]","Cover_stability_alpha_res_log_z","Tile.Type2",0.1187,0.1516,""
"[0.383,0.589].55","[0.383,0.589]","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.3962,0.0012,"**"
"[0.383,0.589].56","[0.383,0.589]","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.1029,0.4159,""
"[0.383,0.589].57","[0.383,0.589]","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.0778,0.2669,""
"[0.383,0.589].58","[0.383,0.589]","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.2484,0,"***"
"[0.274,0.383).1","[0.274,0.383)","Limpet_mean_log_z","Emersion.Rate_z",-0.5364,0.0333,"*"
"[0.274,0.383).2","[0.274,0.383)","Limpet_mean_log_z","Tile.Type2",-0.2918,0.0059,"**"
"[0.274,0.383).3","[0.274,0.383)","Barnacles1_mean_z","Emersion.Rate_z",-0.1325,0.6023,""
"[0.274,0.383).4","[0.274,0.383)","Barnacles1_mean_z","Tile.Type2",-0.5187,0,"***"
"[0.274,0.383).5","[0.274,0.383)","Barnacles1_mean_z","Limpet_mean_log_z",-0.1493,0.2307,""
"[0.274,0.383).6","[0.274,0.383)","Barnacles2_mean_sqrt_z","Emersion.Rate_z",0.8744,6e-04,"***"
"[0.274,0.383).7","[0.274,0.383)","Barnacles2_mean_sqrt_z","Tile.Type2",0.0588,0.3266,""
"[0.274,0.383).8","[0.274,0.383)","Barnacles2_mean_sqrt_z","Limpet_mean_log_z",0.0146,0.8637,""
"[0.274,0.383).9","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.291,0,"***"
"[0.274,0.383).10","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.1895,0.0706,""
"[0.274,0.383).11","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Limpet_mean_log_z",-0.2462,0.0476,"*"
"[0.274,0.383).12","[0.274,0.383)","S_mean_log_z","Emersion.Rate_z",-0.258,0,"***"
"[0.274,0.383).13","[0.274,0.383)","S_mean_log_z","Tile.Type2",0.4852,0.0144,"*"
"[0.274,0.383).14","[0.274,0.383)","S_mean_log_z","Limpet_mean_log_z",-0.2073,0.2783,""
"[0.274,0.383).15","[0.274,0.383)","Pielou_mean_z","Emersion.Rate_z",-0.1983,3e-04,"***"
"[0.274,0.383).16","[0.274,0.383)","Pielou_mean_z","Tile.Type2",0.3603,0.0263,"*"
"[0.274,0.383).17","[0.274,0.383)","Pielou_mean_z","Limpet_mean_log_z",0.0862,0.6085,""
"[0.274,0.383).18","[0.274,0.383)","Pop_stab_log_z","Emersion.Rate_z",0.0505,0.316,""
"[0.274,0.383).19","[0.274,0.383)","Pop_stab_log_z","Tile.Type2",0.4058,7e-04,"***"
"[0.274,0.383).20","[0.274,0.383)","Pop_stab_log_z","S_mean_log_z",-0.1829,0.0114,"*"
"[0.274,0.383).21","[0.274,0.383)","Pop_stab_log_z","Pielou_mean_z",-0.0211,0.7917,""
"[0.274,0.383).22","[0.274,0.383)","Pop_stab_log_z","Barnacles1_mean_z",-0.1847,0.0375,"*"
"[0.274,0.383).23","[0.274,0.383)","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.3311,0.0034,"**"
"[0.274,0.383).24","[0.274,0.383)","Pop_stab_log_z","Limpet_mean_log_z",0.0149,0.8832,""
"[0.274,0.383).25","[0.274,0.383)","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.5158,0,"***"
"[0.274,0.383).26","[0.274,0.383)","Asynchrony_corr_time_z","Emersion.Rate_z",-0.1634,0.022,"*"
"[0.274,0.383).27","[0.274,0.383)","Asynchrony_corr_time_z","Tile.Type2",-0.1323,0.3411,""
"[0.274,0.383).28","[0.274,0.383)","Asynchrony_corr_time_z","S_mean_log_z",0.2581,0.0068,"**"
"[0.274,0.383).29","[0.274,0.383)","Asynchrony_corr_time_z","Pielou_mean_z",-0.1927,0.0722,""
"[0.274,0.383).30","[0.274,0.383)","Asynchrony_corr_time_z","Barnacles1_mean_z",0.3723,0.0035,"**"
"[0.274,0.383).31","[0.274,0.383)","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.2734,0.0727,""
"[0.274,0.383).32","[0.274,0.383)","Asynchrony_corr_time_z","Limpet_mean_log_z",-0.0313,0.8098,""
"[0.274,0.383).33","[0.274,0.383)","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.1891,0.1615,""
"[0.274,0.383).34","[0.274,0.383)","Statistical_averaging_z","Emersion.Rate_z",-0.0687,0.2302,""
"[0.274,0.383).35","[0.274,0.383)","Statistical_averaging_z","Tile.Type2",-0.2436,0.2885,""
"[0.274,0.383).36","[0.274,0.383)","Statistical_averaging_z","S_mean_log_z",0.2005,0.0086,"**"
"[0.274,0.383).37","[0.274,0.383)","Statistical_averaging_z","Pielou_mean_z",0.3286,6e-04,"***"
"[0.274,0.383).38","[0.274,0.383)","Statistical_averaging_z","Barnacles1_mean_z",-0.0784,0.421,""
"[0.274,0.383).39","[0.274,0.383)","Statistical_averaging_z","Barnacles2_mean_sqrt_z",0.0406,0.7396,""
"[0.274,0.383).40","[0.274,0.383)","Statistical_averaging_z","Limpet_mean_log_z",0.2342,0.036,"*"
"[0.274,0.383).41","[0.274,0.383)","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0616,0.5702,""
"[0.274,0.383).42","[0.274,0.383)","Compositional_similarity_z","Emersion.Rate_z",0.0764,0.1024,""
"[0.274,0.383).43","[0.274,0.383)","Compositional_similarity_z","Tile.Type2",0.0358,0.7409,""
"[0.274,0.383).44","[0.274,0.383)","Compositional_similarity_z","Asynchrony_corr_time_z",0.0936,0.2984,""
"[0.274,0.383).45","[0.274,0.383)","Compositional_similarity_z","Pop_stab_log_z",0.2517,0.0375,"*"
"[0.274,0.383).46","[0.274,0.383)","Compositional_similarity_z","Statistical_averaging_z",-0.0577,0.6117,""
"[0.274,0.383).47","[0.274,0.383)","Compositional_similarity_z","S_mean_log_z",-0.0858,0.2423,""
"[0.274,0.383).48","[0.274,0.383)","Compositional_similarity_z","Pielou_mean_z",-0.0478,0.5539,""
"[0.274,0.383).49","[0.274,0.383)","Compositional_similarity_z","Barnacles1_mean_z",0.1994,0.023,"*"
"[0.274,0.383).50","[0.274,0.383)","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.5031,0,"***"
"[0.274,0.383).51","[0.274,0.383)","Compositional_similarity_z","Limpet_mean_log_z",0.257,0.0063,"**"
"[0.274,0.383).52","[0.274,0.383)","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.3242,0.0048,"**"
"[0.274,0.383).53","[0.274,0.383)","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0298,0.5377,""
"[0.274,0.383).54","[0.274,0.383)","Cover_stability_alpha_res_log_z","Tile.Type2",0.1216,0.1516,""
"[0.274,0.383).55","[0.274,0.383)","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.2959,0.0012,"**"
"[0.274,0.383).56","[0.274,0.383)","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.0859,0.4159,""
"[0.274,0.383).57","[0.274,0.383)","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.0967,0.2669,""
"[0.274,0.383).58","[0.274,0.383)","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.5408,0,"***"
"[0.126,0.274).1","[0.126,0.274)","Limpet_mean_log_z","Emersion.Rate_z",0.4534,0.0182,"*"
"[0.126,0.274).2","[0.126,0.274)","Limpet_mean_log_z","Tile.Type2",-0.2345,0.0059,"**"
"[0.126,0.274).3","[0.126,0.274)","Barnacles1_mean_z","Emersion.Rate_z",0.639,0.0148,"*"
"[0.126,0.274).4","[0.126,0.274)","Barnacles1_mean_z","Tile.Type2",-0.4522,0,"***"
"[0.126,0.274).5","[0.126,0.274)","Barnacles1_mean_z","Limpet_mean_log_z",-0.1619,0.2307,""
"[0.126,0.274).6","[0.126,0.274)","Barnacles2_mean_sqrt_z","Emersion.Rate_z",0.173,0.5566,""
"[0.126,0.274).7","[0.126,0.274)","Barnacles2_mean_sqrt_z","Tile.Type2",0.0711,0.3266,""
"[0.126,0.274).8","[0.126,0.274)","Barnacles2_mean_sqrt_z","Limpet_mean_log_z",0.022,0.8637,""
"[0.126,0.274).9","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.4039,0,"***"
"[0.126,0.274).10","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.1896,0.0706,""
"[0.126,0.274).11","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Limpet_mean_log_z",-0.3065,0.0476,"*"
"[0.126,0.274).12","[0.126,0.274)","S_mean_log_z","Emersion.Rate_z",-0.1464,0,"***"
"[0.126,0.274).13","[0.126,0.274)","S_mean_log_z","Tile.Type2",0.6577,0.003,"**"
"[0.126,0.274).14","[0.126,0.274)","S_mean_log_z","Limpet_mean_log_z",-0.1055,0.2783,""
"[0.126,0.274).15","[0.126,0.274)","Pielou_mean_z","Emersion.Rate_z",-0.1527,3e-04,"***"
"[0.126,0.274).16","[0.126,0.274)","Pielou_mean_z","Tile.Type2",0.2,0.0263,"*"
"[0.126,0.274).17","[0.126,0.274)","Pielou_mean_z","Limpet_mean_log_z",0.0595,0.6085,""
"[0.126,0.274).18","[0.126,0.274)","Pop_stab_log_z","Emersion.Rate_z",0.0801,0.316,""
"[0.126,0.274).19","[0.126,0.274)","Pop_stab_log_z","Tile.Type2",0.4635,7e-04,"***"
"[0.126,0.274).20","[0.126,0.274)","Pop_stab_log_z","S_mean_log_z",-0.5108,0.0114,"*"
"[0.126,0.274).21","[0.126,0.274)","Pop_stab_log_z","Pielou_mean_z",-0.0434,0.7917,""
"[0.126,0.274).22","[0.126,0.274)","Pop_stab_log_z","Barnacles1_mean_z",-0.242,0.0375,"*"
"[0.126,0.274).23","[0.126,0.274)","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.3129,0.0034,"**"
"[0.126,0.274).24","[0.126,0.274)","Pop_stab_log_z","Limpet_mean_log_z",0.0211,0.8832,""
"[0.126,0.274).25","[0.126,0.274)","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.589,0,"***"
"[0.126,0.274).26","[0.126,0.274)","Asynchrony_corr_time_z","Emersion.Rate_z",-0.2708,0.022,"*"
"[0.126,0.274).27","[0.126,0.274)","Asynchrony_corr_time_z","Tile.Type2",-0.158,0.3411,""
"[0.126,0.274).28","[0.126,0.274)","Asynchrony_corr_time_z","S_mean_log_z",0.7537,0.0068,"**"
"[0.126,0.274).29","[0.126,0.274)","Asynchrony_corr_time_z","Pielou_mean_z",-0.4145,0.0722,""
"[0.126,0.274).30","[0.126,0.274)","Asynchrony_corr_time_z","Barnacles1_mean_z",0.51,0.0035,"**"
"[0.126,0.274).31","[0.126,0.274)","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.2702,0.0727,""
"[0.126,0.274).32","[0.126,0.274)","Asynchrony_corr_time_z","Limpet_mean_log_z",-0.0466,0.8098,""
"[0.126,0.274).33","[0.126,0.274)","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.2258,0.1615,""
"[0.126,0.274).34","[0.126,0.274)","Statistical_averaging_z","Emersion.Rate_z",-0.0713,0.2302,""
"[0.126,0.274).35","[0.126,0.274)","Statistical_averaging_z","Tile.Type2",0.3797,0.1433,""
"[0.126,0.274).36","[0.126,0.274)","Statistical_averaging_z","S_mean_log_z",0.3667,0.0086,"**"
"[0.126,0.274).37","[0.126,0.274)","Statistical_averaging_z","Pielou_mean_z",0.4428,6e-04,"***"
"[0.126,0.274).38","[0.126,0.274)","Statistical_averaging_z","Barnacles1_mean_z",-0.0673,0.421,""
"[0.126,0.274).39","[0.126,0.274)","Statistical_averaging_z","Barnacles2_mean_sqrt_z",0.0251,0.7396,""
"[0.126,0.274).40","[0.126,0.274)","Statistical_averaging_z","Limpet_mean_log_z",0.218,0.036,"*"
"[0.126,0.274).41","[0.126,0.274)","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0461,0.5702,""
"[0.126,0.274).42","[0.126,0.274)","Compositional_similarity_z","Emersion.Rate_z",0.076,0.1024,""
"[0.126,0.274).43","[0.126,0.274)","Compositional_similarity_z","Tile.Type2",0.0257,0.7409,""
"[0.126,0.274).44","[0.126,0.274)","Compositional_similarity_z","Asynchrony_corr_time_z",0.0562,0.2984,""
"[0.126,0.274).45","[0.126,0.274)","Compositional_similarity_z","Pop_stab_log_z",0.1581,0.0375,"*"
"[0.126,0.274).46","[0.126,0.274)","Compositional_similarity_z","Statistical_averaging_z",-0.0554,0.6117,""
"[0.126,0.274).47","[0.126,0.274)","Compositional_similarity_z","S_mean_log_z",-0.1505,0.2423,""
"[0.126,0.274).48","[0.126,0.274)","Compositional_similarity_z","Pielou_mean_z",-0.0618,0.5539,""
"[0.126,0.274).49","[0.126,0.274)","Compositional_similarity_z","Barnacles1_mean_z",0.1641,0.023,"*"
"[0.126,0.274).50","[0.126,0.274)","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.2986,0,"***"
"[0.126,0.274).51","[0.126,0.274)","Compositional_similarity_z","Limpet_mean_log_z",0.2294,0.0063,"**"
"[0.126,0.274).52","[0.126,0.274)","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.2325,0.0048,"**"
"[0.126,0.274).53","[0.126,0.274)","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0522,0.5377,""
"[0.126,0.274).54","[0.126,0.274)","Cover_stability_alpha_res_log_z","Tile.Type2",0.1538,0.1516,""
"[0.126,0.274).55","[0.126,0.274)","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.3132,0.0012,"**"
"[0.126,0.274).56","[0.126,0.274)","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.0951,0.4159,""
"[0.126,0.274).57","[0.126,0.274)","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.1633,0.2669,""
"[0.126,0.274).58","[0.126,0.274)","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.9529,0,"***"
