"","EmGroup","Response","Predictor","Std.Estimate","P.Value","Var.9"
"[0.383,0.589].31","[0.383,0.589]","Compositional_similarity_z","Asynchrony_corr_time_z",0.3159,0.205,""
"[0.383,0.589].32","[0.383,0.589]","Compositional_similarity_z","Pop_stab_log_z",0.6525,0.0315,"*"
"[0.383,0.589].33","[0.383,0.589]","Compositional_similarity_z","S_mean_log_z",-0.2265,0.0375,"*"
"[0.383,0.589].34","[0.383,0.589]","Compositional_similarity_z","Barnacles1_mean_z",0.4968,0.0273,"*"
"[0.383,0.589].35","[0.383,0.589]","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.5117,0,"***"
"[0.383,0.589].36","[0.383,0.589]","Compositional_similarity_z","Consumer_mean_log_z",0.1952,0.0112,"*"
"[0.383,0.589].37","[0.383,0.589]","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.6431,0.0036,"**"
"[0.383,0.589].38","[0.383,0.589]","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0258,0.7712,""
"[0.383,0.589].39","[0.383,0.589]","Cover_stability_alpha_res_log_z","Tile.Type2",0.1413,0.0818,""
"[0.383,0.589].40","[0.383,0.589]","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.42,6e-04,"***"
"[0.383,0.589].41","[0.383,0.589]","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.1234,0.3276,""
"[0.383,0.589].42","[0.383,0.589]","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.2378,0,"***"
"[0.274,0.383).1","[0.274,0.383)","Consumer_mean_log_z","Emersion.Rate_z",-0.5428,0.0323,"*"
"[0.274,0.383).2","[0.274,0.383)","Consumer_mean_log_z","Tile.Type2",-0.304,0.0047,"**"
"[0.274,0.383).3","[0.274,0.383)","Barnacles1_mean_z","Emersion.Rate_z",0.1087,0.0282,"*"
"[0.274,0.383).4","[0.274,0.383)","Barnacles1_mean_z","Tile.Type2",-0.5143,0,"***"
"[0.274,0.383).5","[0.274,0.383)","Barnacles1_mean_z","Consumer_mean_log_z",-0.1295,0.2911,""
"[0.274,0.383).6","[0.274,0.383)","Barnacles2_mean_sqrt_z","Emersion.Rate_z",0.8786,6e-04,"***"
"[0.274,0.383).7","[0.274,0.383)","Barnacles2_mean_sqrt_z","Tile.Type2",0.0621,0.3008,""
"[0.274,0.383).8","[0.274,0.383)","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.025,0.766,""
"[0.274,0.383).9","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.295,0,"***"
"[0.274,0.383).10","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2002,0.0546,""
"[0.274,0.383).11","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.2715,0.0264,"*"
"[0.274,0.383).12","[0.274,0.383)","S_mean_log_z","Emersion.Rate_z",-0.261,0,"***"
"[0.274,0.383).13","[0.274,0.383)","S_mean_log_z","Tile.Type2",0.4781,0.0151,"*"
"[0.274,0.383).14","[0.274,0.383)","S_mean_log_z","Consumer_mean_log_z",-0.2244,0.2318,""
"[0.274,0.383).15","[0.274,0.383)","Pop_stab_log_z","Emersion.Rate_z",0.0512,0.3031,""
"[0.274,0.383).16","[0.274,0.383)","Pop_stab_log_z","Tile.Type2",0.3987,7e-04,"***"
"[0.274,0.383).17","[0.274,0.383)","Pop_stab_log_z","S_mean_log_z",-0.1924,0.0029,"**"
"[0.274,0.383).18","[0.274,0.383)","Pop_stab_log_z","Barnacles1_mean_z",-0.1861,0.0336,"*"
"[0.274,0.383).19","[0.274,0.383)","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.3264,0.0034,"**"
"[0.274,0.383).20","[0.274,0.383)","Pop_stab_log_z","Consumer_mean_log_z",-0.0063,0.948,""
"[0.274,0.383).21","[0.274,0.383)","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.5203,0,"***"
"[0.274,0.383).22","[0.274,0.383)","Asynchrony_corr_time_z","Emersion.Rate_z",-0.1394,0.0524,""
"[0.274,0.383).23","[0.274,0.383)","Asynchrony_corr_time_z","Tile.Type2",-0.1444,0.3027,""
"[0.274,0.383).24","[0.274,0.383)","Asynchrony_corr_time_z","S_mean_log_z",0.1776,0.0296,"*"
"[0.274,0.383).25","[0.274,0.383)","Asynchrony_corr_time_z","Barnacles1_mean_z",0.3654,0.0047,"**"
"[0.274,0.383).26","[0.274,0.383)","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.2642,0.0905,""
"[0.274,0.383).27","[0.274,0.383)","Asynchrony_corr_time_z","Consumer_mean_log_z",-0.0506,0.6979,""
"[0.274,0.383).28","[0.274,0.383)","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.1881,0.1736,""
"[0.274,0.383).29","[0.274,0.383)","Compositional_similarity_z","Emersion.Rate_z",-0.0684,0.7721,""
"[0.274,0.383).30","[0.274,0.383)","Compositional_similarity_z","Tile.Type2",0.0233,0.8282,""
"[0.274,0.383).31","[0.274,0.383)","Compositional_similarity_z","Asynchrony_corr_time_z",0.1084,0.205,""
"[0.274,0.383).32","[0.274,0.383)","Compositional_similarity_z","Pop_stab_log_z",0.2502,0.0315,"*"
"[0.274,0.383).33","[0.274,0.383)","Compositional_similarity_z","S_mean_log_z",-0.1263,0.0375,"*"
"[0.274,0.383).34","[0.274,0.383)","Compositional_similarity_z","Barnacles1_mean_z",0.1902,0.0273,"*"
"[0.274,0.383).35","[0.274,0.383)","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.4877,0,"***"
"[0.274,0.383).36","[0.274,0.383)","Compositional_similarity_z","Consumer_mean_log_z",0.2203,0.0112,"*"
"[0.274,0.383).37","[0.274,0.383)","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.3251,0.0036,"**"
"[0.274,0.383).38","[0.274,0.383)","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0133,0.7712,""
"[0.274,0.383).39","[0.274,0.383)","Cover_stability_alpha_res_log_z","Tile.Type2",0.1447,0.0818,""
"[0.274,0.383).40","[0.274,0.383)","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.3137,6e-04,"***"
"[0.274,0.383).41","[0.274,0.383)","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.103,0.3276,""
"[0.274,0.383).42","[0.274,0.383)","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.5177,0,"***"
"[0.126,0.274).1","[0.126,0.274)","Consumer_mean_log_z","Emersion.Rate_z",0.5331,0.0056,"**"
"[0.126,0.274).2","[0.126,0.274)","Consumer_mean_log_z","Tile.Type2",-0.2396,0.0047,"**"
"[0.126,0.274).3","[0.126,0.274)","Barnacles1_mean_z","Emersion.Rate_z",0.1315,0.0282,"*"
"[0.126,0.274).4","[0.126,0.274)","Barnacles1_mean_z","Tile.Type2",-0.4484,0,"***"
"[0.126,0.274).5","[0.126,0.274)","Barnacles1_mean_z","Consumer_mean_log_z",-0.1432,0.2911,""
"[0.126,0.274).6","[0.126,0.274)","Barnacles2_mean_sqrt_z","Emersion.Rate_z",0.1611,0.5861,""
"[0.126,0.274).7","[0.126,0.274)","Barnacles2_mean_sqrt_z","Tile.Type2",0.075,0.3008,""
"[0.126,0.274).8","[0.126,0.274)","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.0383,0.766,""
"[0.126,0.274).9","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.4094,0,"***"
"[0.126,0.274).10","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2003,0.0546,""
"[0.126,0.274).11","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.3446,0.0264,"*"
"[0.126,0.274).12","[0.126,0.274)","S_mean_log_z","Emersion.Rate_z",-0.1481,0,"***"
"[0.126,0.274).13","[0.126,0.274)","S_mean_log_z","Tile.Type2",0.6574,0.0037,"**"
"[0.126,0.274).14","[0.126,0.274)","S_mean_log_z","Consumer_mean_log_z",-0.1165,0.2318,""
"[0.126,0.274).15","[0.126,0.274)","Pop_stab_log_z","Emersion.Rate_z",0.0811,0.3031,""
"[0.126,0.274).16","[0.126,0.274)","Pop_stab_log_z","Tile.Type2",0.4555,7e-04,"***"
"[0.126,0.274).17","[0.126,0.274)","Pop_stab_log_z","S_mean_log_z",-0.5374,0.0029,"**"
"[0.126,0.274).18","[0.126,0.274)","Pop_stab_log_z","Barnacles1_mean_z",-0.2439,0.0336,"*"
"[0.126,0.274).19","[0.126,0.274)","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.3084,0.0034,"**"
"[0.126,0.274).20","[0.126,0.274)","Pop_stab_log_z","Consumer_mean_log_z",-0.0091,0.948,""
"[0.126,0.274).21","[0.126,0.274)","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.594,0,"***"
"[0.126,0.274).22","[0.126,0.274)","Asynchrony_corr_time_z","Emersion.Rate_z",-0.2309,0.0524,""
"[0.126,0.274).23","[0.126,0.274)","Asynchrony_corr_time_z","Tile.Type2",-0.1725,0.3027,""
"[0.126,0.274).24","[0.126,0.274)","Asynchrony_corr_time_z","S_mean_log_z",0.5187,0.0296,"*"
"[0.126,0.274).25","[0.126,0.274)","Asynchrony_corr_time_z","Barnacles1_mean_z",0.5006,0.0047,"**"
"[0.126,0.274).26","[0.126,0.274)","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.2611,0.0905,""
"[0.126,0.274).27","[0.126,0.274)","Asynchrony_corr_time_z","Consumer_mean_log_z",-0.0767,0.6979,""
"[0.126,0.274).28","[0.126,0.274)","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.2246,0.1736,""
"[0.126,0.274).29","[0.126,0.274)","Compositional_similarity_z","Emersion.Rate_z",0.3628,0.0963,""
"[0.126,0.274).30","[0.126,0.274)","Compositional_similarity_z","Tile.Type2",0.0168,0.8282,""
"[0.126,0.274).31","[0.126,0.274)","Compositional_similarity_z","Asynchrony_corr_time_z",0.0651,0.205,""
"[0.126,0.274).32","[0.126,0.274)","Compositional_similarity_z","Pop_stab_log_z",0.1571,0.0315,"*"
"[0.126,0.274).33","[0.126,0.274)","Compositional_similarity_z","S_mean_log_z",-0.2216,0.0375,"*"
"[0.126,0.274).34","[0.126,0.274)","Compositional_similarity_z","Barnacles1_mean_z",0.1565,0.0273,"*"
"[0.126,0.274).35","[0.126,0.274)","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.2894,0,"***"
"[0.126,0.274).36","[0.126,0.274)","Compositional_similarity_z","Consumer_mean_log_z",0.2005,0.0112,"*"
"[0.126,0.274).37","[0.126,0.274)","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.2331,0.0036,"**"
"[0.126,0.274).38","[0.126,0.274)","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0234,0.7712,""
"[0.126,0.274).39","[0.126,0.274)","Cover_stability_alpha_res_log_z","Tile.Type2",0.1829,0.0818,""
"[0.126,0.274).40","[0.126,0.274)","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.332,6e-04,"***"
"[0.126,0.274).41","[0.126,0.274)","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.114,0.3276,""
"[0.126,0.274).42","[0.126,0.274)","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.9122,0,"***"
