"","EmGroup","Response","Predictor","mean_estimate","lower_CI","upper_CI","Sig"
"33","[0.126,0.274)","Compositional_similarity_z","Tile.Type2",0.0111393,-0.05415,0.068725,"No"
"34","[0.126,0.274)","Consumer_mean_log_z","Emersion.Rate_z",0.5246251,0.382455,0.6542125,"Yes"
"35","[0.126,0.274)","Consumer_mean_log_z","Tile.Type2",-0.2996021,-0.5640025,-0.1863,"Yes"
"36","[0.126,0.274)","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.2920216,0.1446775,0.381525,"Yes"
"37","[0.126,0.274)","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.9603528,0.764575,1.1373375,"Yes"
"38","[0.126,0.274)","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.0470694,-0.0558425,0.1461425,"No"
"39","[0.126,0.274)","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.0971735,-0.0145075,0.22831,"No"
"40","[0.126,0.274)","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.1647543,0.0642875,0.2854325,"Yes"
"41","[0.126,0.274)","Cover_stability_alpha_res_log_z","Tile.Type2",0.1556254,0.0407925,0.284875,"Yes"
"42","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.3513308,-0.495925,-0.2477875,"Yes"
"43","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.4081317,-0.453975,-0.3580925,"Yes"
"44","[0.126,0.274)","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2036111,-0.2870375,-0.131895,"Yes"
"45","[0.126,0.274)","Pielou_mean_z","Consumer_mean_log_z",0.0347654,-0.070965,0.1268825,"No"
"46","[0.126,0.274)","Pielou_mean_z","Emersion.Rate_z",-0.1568534,-0.1902275,-0.12319,"Yes"
"47","[0.126,0.274)","Pielou_mean_z","Tile.Type2",0.2310446,0.1254,0.6360225,"Yes"
"48","[0.126,0.274)","Pop_stab_log_z","Barnacles1_mean_z",-0.253142,-0.4049075,-0.142295,"Yes"
"49","[0.126,0.274)","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.3100333,0.2398925,0.3898325,"Yes"
"50","[0.126,0.274)","Pop_stab_log_z","Consumer_mean_log_z",-0.0090892,-0.1051125,0.085835,"No"
"51","[0.126,0.274)","Pop_stab_log_z","Emersion.Rate_z",0.078349,0.01359,0.15111,"Yes"
"52","[0.126,0.274)","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.5992587,-0.8166075,-0.4164525,"Yes"
"53","[0.126,0.274)","Pop_stab_log_z","Pielou_mean_z",-0.0506769,-0.19875,0.054825,"No"
"54","[0.126,0.274)","Pop_stab_log_z","S_mean_log_z",-0.5119141,-0.670125,-0.369385,"Yes"
"55","[0.126,0.274)","Pop_stab_log_z","Tile.Type2",0.4587909,0.3460425,0.58294,"Yes"
"56","[0.126,0.274)","S_mean_log_z","Consumer_mean_log_z",-0.1266495,-0.2769175,-0.0347675,"Yes"
"57","[0.126,0.274)","S_mean_log_z","Emersion.Rate_z",-0.1973892,-0.40532,-0.11689,"Yes"
"58","[0.126,0.274)","S_mean_log_z","Tile.Type2",0.6349858,0.46506,0.74631,"Yes"
"59","[0.126,0.274)","Statistical_averaging_z","Barnacles1_mean_z",-0.073080423814329,-0.147525,-0.008,"Yes"
"60","[0.126,0.274)","Statistical_averaging_z","Barnacles2_mean_sqrt_z",-0.0564424823410696,-0.568875,0.073475,"No"
"61","[0.126,0.274)","Statistical_averaging_z","Consumer_mean_log_z",0.200503229061554,0.11785,0.281675,"Yes"
"62","[0.126,0.274)","Statistical_averaging_z","Emersion.Rate_z",-0.0658416750756811,-0.113675,-0.023325,"Yes"
"63","[0.126,0.274)","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0689419778002018,-0.02955,0.459775,"No"
"64","[0.126,0.274)","Statistical_averaging_z","Pielou_mean_z",0.496245206861756,0.237475,0.89595,"Yes"
"65","[0.126,0.274)","Statistical_averaging_z","S_mean_log_z",0.348496367305752,0.213125,0.51385,"Yes"
"66","[0.126,0.274)","Statistical_averaging_z","Tile.Type2",0.32153541876892,-0.019175,0.6613,"No"
"67","[0.274,0.383)","","Asynchrony_corr_time_z",0.381277777777778,0.26314,0.51064,"Yes"
"68","[0.274,0.383)","","Barnacles1_mean_z",0.274470873786408,-0.198875,0.799125,"No"
"69","[0.274,0.383)","","Barnacles2_mean_sqrt_z",0.0954223300970874,-0.4721125,0.6536625,"No"
"70","[0.274,0.383)","","Compositional_similarity_z",0.236566666666667,-0.29352,0.69778,"No"
"71","[0.274,0.383)","","Consumer_mean_log_z",0.00979174757281554,-0.4019,0.4837625,"No"
"72","[0.274,0.383)","","Emersion.Rate_z",-0.137232558139535,-0.68565,0.535200000000001,"No"
"73","[0.274,0.383)","","Eph_macroalgae_mean_sqrt_z",-0.181138834951456,-0.54045,0.17025,"No"
"74","[0.274,0.383)","","Pielou_mean_z",0.188116990291262,-0.4813375,0.830775,"No"
"75","[0.274,0.383)","","Pop_stab_log_z",0.590577777777778,0.40512,0.79388,"Yes"
"76","[0.274,0.383)","","S_mean_log_z",0.456716019417476,-0.0361,0.931025,"No"
"77","[0.274,0.383)","","Statistical_averaging_z",0.205777777777778,-0.0449,0.4886,"No"
"78","[0.274,0.383)","","Tile.Type2",-0.239639534883721,-0.512445,0.05746,"No"
"79","[0.274,0.383)","Asynchrony_corr_time_z","Barnacles1_mean_z",0.377070791527313,0.28566,0.52702,"Yes"
"80","[0.274,0.383)","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.266411594202899,0.12344,0.38236,"Yes"
"81","[0.274,0.383)","Asynchrony_corr_time_z","Consumer_mean_log_z",-0.0327040133779264,-0.2251,0.10264,"No"
"82","[0.274,0.383)","Asynchrony_corr_time_z","Emersion.Rate_z",-0.162227759197324,-0.2112,-0.0921,"Yes"
"83","[0.274,0.383)","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.204654849498328,-0.30446,-0.12066,"Yes"
"84","[0.274,0.383)","Asynchrony_corr_time_z","Pielou_mean_z",-0.186435562987737,-0.26532,-0.10724,"Yes"
"85","[0.274,0.383)","Asynchrony_corr_time_z","S_mean_log_z",0.293028428093645,0.18858,0.79036,"Yes"
"86","[0.274,0.383)","Asynchrony_corr_time_z","Tile.Type2",-0.141561538461538,-0.3065,-0.02678,"Yes"
"87","[0.274,0.383)","Barnacles1_mean_z","Consumer_mean_log_z",-0.131223,-0.2099275,-0.0601875,"Yes"
"88","[0.274,0.383)","Barnacles1_mean_z","Emersion.Rate_z",0.0107671,-0.2535575,0.132,"No"
"89","[0.274,0.383)","Barnacles1_mean_z","Tile.Type2",-0.5508205,-0.7013425,-0.471185,"Yes"
"90","[0.274,0.383)","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.0394513,-0.055635,0.1936075,"No"
"91","[0.274,0.383)","Barnacles2_mean_sqrt_z","Emersion.Rate_z",0.8941779,0.8098925,1.001225,"Yes"
"92","[0.274,0.383)","Barnacles2_mean_sqrt_z","Tile.Type2",0.0580401,-0.0085125,0.1107075,"No"
"93","[0.274,0.383)","Compositional_similarity_z","Asynchrony_corr_time_z",0.0918771,0.0241675,0.1551325,"Yes"
"94","[0.274,0.383)","Compositional_similarity_z","Barnacles1_mean_z",0.1637323,-0.029,0.3257225,"No"
"95","[0.274,0.383)","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.4928529,0.3900825,0.616345,"Yes"
"96","[0.274,0.383)","Compositional_similarity_z","Consumer_mean_log_z",0.2340988,0.1284325,0.33292,"Yes"
"97","[0.274,0.383)","Compositional_similarity_z","Emersion.Rate_z",0.0186438,-0.2748175,0.1176,"No"
"98","[0.274,0.383)","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.3185898,-0.38461,-0.239495,"Yes"
"99","[0.274,0.383)","Compositional_similarity_z","Pielou_mean_z",-0.0466207,-0.1066025,0.023915,"No"
"100","[0.274,0.383)","Compositional_similarity_z","Pop_stab_log_z",0.2566145,0.191785,0.330105,"Yes"
"101","[0.274,0.383)","Compositional_similarity_z","S_mean_log_z",-0.0875595,-0.1620125,-8e-04,"Yes"
"102","[0.274,0.383)","Compositional_similarity_z","Statistical_averaging_z",-0.040764,-0.120315,0.0492549999999999,"No"
"103","[0.274,0.383)","Compositional_similarity_z","Tile.Type2",0.0095861,-0.3767225,0.092905,"No"
"104","[0.274,0.383)","Consumer_mean_log_z","Emersion.Rate_z",-0.5460944,-0.67616,-0.43828,"Yes"
"105","[0.274,0.383)","Consumer_mean_log_z","Tile.Type2",-0.2788725,-0.406555,-0.105195,"Yes"
"106","[0.274,0.383)","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.28363965691221,0.203125,0.36975,"Yes"
"107","[0.274,0.383)","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.546666700302725,0.43675,0.67815,"Yes"
"108","[0.274,0.383)","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.028780423814329,-0.02895,0.08335,"No"
"109","[0.274,0.383)","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.107595257315843,-0.0096,0.60015,"No"
"110","[0.274,0.383)","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.0999768920282543,0.0426,0.17325,"Yes"
"111","[0.274,0.383)","Cover_stability_alpha_res_log_z","Tile.Type2",0.116236024217962,0.00915,0.20985,"Yes"
"112","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.2492217,-0.348025,0.2263425,"No"
"113","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.2975383,-0.3370225,-0.259885,"Yes"
"114","[0.274,0.383)","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2026337,-0.28471,-0.127975,"Yes"
"115","[0.274,0.383)","Pielou_mean_z","Consumer_mean_log_z",0.0482476,-0.0979125,0.1821175,"No"
"116","[0.274,0.383)","Pielou_mean_z","Emersion.Rate_z",-0.2040422,-0.2567025,-0.160395,"Yes"
"117","[0.274,0.383)","Pielou_mean_z","Tile.Type2",0.3407645,0.20561,0.442825,"Yes"
"118","[0.274,0.383)","Pop_stab_log_z","Barnacles1_mean_z",-0.1901904,-0.263615,-0.124095,"Yes"
"119","[0.274,0.383)","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.3337441,0.2568275,0.4224825,"Yes"
"120","[0.274,0.383)","Pop_stab_log_z","Consumer_mean_log_z",0.0009261,-0.0630125,0.0797649999999999,"No"
"121","[0.274,0.383)","Pop_stab_log_z","Emersion.Rate_z",0.0494433,0.0088,0.093825,"Yes"
"122","[0.274,0.383)","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.5125978,-0.6234175,-0.3346175,"Yes"
"123","[0.274,0.383)","Pop_stab_log_z","Pielou_mean_z",-0.0243931,-0.0887275,0.0253425,"No"
"124","[0.274,0.383)","Pop_stab_log_z","S_mean_log_z",-0.1934471,-0.273405,-0.13527,"Yes"
"125","[0.274,0.383)","Pop_stab_log_z","Tile.Type2",0.4018431,0.2961775,0.527445,"Yes"
"126","[0.274,0.383)","S_mean_log_z","Consumer_mean_log_z",-0.1425309,-0.3754,0.5064175,"No"
"127","[0.274,0.383)","S_mean_log_z","Emersion.Rate_z",-0.1845777,-0.31891,0.159535,"No"
"128","[0.274,0.383)","S_mean_log_z","Tile.Type2",0.485751,0.377435,0.6132275,"Yes"
"129","[0.274,0.383)","Statistical_averaging_z","Barnacles1_mean_z",-0.0838245261984392,-0.16786,-0.00677999999999998,"Yes"
"130","[0.274,0.383)","Statistical_averaging_z","Barnacles2_mean_sqrt_z",0.0159366778149387,-0.1781,0.12698,"No"
"131","[0.274,0.383)","Statistical_averaging_z","Consumer_mean_log_z",0.219688182831661,0.13018,0.34308,"Yes"
"132","[0.274,0.383)","Statistical_averaging_z","Emersion.Rate_z",-0.0640486064659978,-0.10634,-0.0247,"Yes"
"133","[0.274,0.383)","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0230248606465998,-0.29418,0.12752,"No"
"134","[0.274,0.383)","Statistical_averaging_z","Pielou_mean_z",0.429722073578595,0.28132,0.80582,"Yes"
"135","[0.274,0.383)","Statistical_averaging_z","S_mean_log_z",0.198036008918618,0.1269,0.3184,"Yes"
"136","[0.274,0.383)","Statistical_averaging_z","Tile.Type2",-0.166965328874025,-0.4301,0.11836,"No"
"137","[0.383,0.589]","","Asynchrony_corr_time_z",0.5717,0.048295,0.908605,"Yes"
"138","[0.383,0.589]","","Barnacles1_mean_z",0.414350197628458,-0.4722,1.4252375,"No"
"139","[0.383,0.589]","","Barnacles2_mean_sqrt_z",0.472559288537549,-0.266525,1.0512625,"No"
"140","[0.383,0.589]","","Compositional_similarity_z",0.232940740740741,-0.149235,0.635325,"No"
"141","[0.383,0.589]","","Consumer_mean_log_z",0.544322924901186,-0.060775,1.355,"No"
"142","[0.383,0.589]","","Emersion.Rate_z",-0.146922889305816,-0.4607,0.272369999999999,"No"
"143","[0.383,0.589]","","Eph_macroalgae_mean_sqrt_z",0.149707312252964,-0.1461,0.5359125,"No"
"144","[0.383,0.589]","","Pielou_mean_z",-0.115593083003953,-0.582225,0.2261875,"No"
"145","[0.383,0.589]","","Pop_stab_log_z",-0.0414851851851852,-0.6,0.875514999999999,"No"
"146","[0.383,0.589]","","S_mean_log_z",-0.0134808300395257,-0.7711,0.352675,"No"
"147","[0.383,0.589]","","Statistical_averaging_z",-0.0376111111111111,-0.575835,0.517629999999999,"No"
"148","[0.383,0.589]","","Tile.Type2",0.351396810506567,0.00356000000000001,0.826199999999999,"Yes"
"149","[0.383,0.589]","Asynchrony_corr_time_z","Barnacles1_mean_z",0.345125301204819,0.23633,0.626470000000001,"Yes"
"150","[0.383,0.589]","Asynchrony_corr_time_z","Barnacles2_mean_sqrt_z",0.102539759036145,0.06491,0.14451,"Yes"
"151","[0.383,0.589]","Asynchrony_corr_time_z","Consumer_mean_log_z",0.109946987951807,-0.038845,1.189535,"No"
"152","[0.383,0.589]","Asynchrony_corr_time_z","Emersion.Rate_z",-0.235353145917001,-0.293715,-0.172625,"Yes"
"153","[0.383,0.589]","Asynchrony_corr_time_z","Eph_macroalgae_mean_sqrt_z",-0.130912985274431,-0.2351,-0.0614599999999999,"Yes"
"154","[0.383,0.589]","Asynchrony_corr_time_z","Pielou_mean_z",-0.125252610441767,-0.25801,-0.058025,"Yes"
"155","[0.383,0.589]","Asynchrony_corr_time_z","S_mean_log_z",0.0915496653279786,-0.68792,0.261915,"No"
"156","[0.383,0.589]","Asynchrony_corr_time_z","Tile.Type2",-0.0303771084337349,-0.162725,0.761115,"No"
"157","[0.383,0.589]","Barnacles1_mean_z","Consumer_mean_log_z",-0.0471471,-0.0762025,-0.0225875,"Yes"
"158","[0.383,0.589]","Barnacles1_mean_z","Emersion.Rate_z",0.1035528,-0.1331075,0.203305,"No"
"159","[0.383,0.589]","Barnacles1_mean_z","Tile.Type2",-0.4838717,-0.7157125,-0.3818975,"Yes"
"160","[0.383,0.589]","Barnacles2_mean_sqrt_z","Consumer_mean_log_z",0.0378882,-0.0581075,0.2465375,"No"
"161","[0.383,0.589]","Barnacles2_mean_sqrt_z","Emersion.Rate_z",-0.138793,-0.30139,0.00444499999999996,"No"
"162","[0.383,0.589]","Barnacles2_mean_sqrt_z","Tile.Type2",0.1293592,0.016595,0.2396525,"Yes"
"163","[0.383,0.589]","Compositional_similarity_z","Asynchrony_corr_time_z",0.2790604,0.0347425,0.60845,"Yes"
"164","[0.383,0.589]","Compositional_similarity_z","Barnacles1_mean_z",0.7168607,0.3509775,1.164225,"Yes"
"165","[0.383,0.589]","Compositional_similarity_z","Barnacles2_mean_sqrt_z",0.5375214,0.372235,0.9960325,"Yes"
"166","[0.383,0.589]","Compositional_similarity_z","Consumer_mean_log_z",0.2152288,0.12219,0.39153,"Yes"
"167","[0.383,0.589]","Compositional_similarity_z","Emersion.Rate_z",0.175594,-0.2764025,0.6684375,"No"
"168","[0.383,0.589]","Compositional_similarity_z","Eph_macroalgae_mean_sqrt_z",-0.6366678,-0.81295,-0.465295,"Yes"
"169","[0.383,0.589]","Compositional_similarity_z","Pielou_mean_z",-0.0922295,-0.233745,0.05405,"No"
"170","[0.383,0.589]","Compositional_similarity_z","Pop_stab_log_z",0.691268,0.5220675,1.0504925,"Yes"
"171","[0.383,0.589]","Compositional_similarity_z","S_mean_log_z",-0.1636976,-0.350185,-0.00237750000000002,"Yes"
"172","[0.383,0.589]","Compositional_similarity_z","Statistical_averaging_z",-0.0736101,-0.237185,0.0875124999999999,"No"
"173","[0.383,0.589]","Compositional_similarity_z","Tile.Type2",0.0614886,-0.0994575,0.2533725,"No"
"174","[0.383,0.589]","Consumer_mean_log_z","Emersion.Rate_z",-0.21995,-0.352945,0.0110325,"No"
"175","[0.383,0.589]","Consumer_mean_log_z","Tile.Type2",-0.61518,-0.88131,-0.2132625,"Yes"
"176","[0.383,0.589]","Cover_stability_alpha_res_log_z","Asynchrony_corr_time_z",0.38286690647482,0.25703,0.5614,"Yes"
"177","[0.383,0.589]","Cover_stability_alpha_res_log_z","Compositional_similarity_z",0.253265673175745,0.14169,0.35279,"Yes"
"178","[0.383,0.589]","Cover_stability_alpha_res_log_z","Emersion.Rate_z",0.054765878725591,-0.06035,0.19239,"No"
"179","[0.383,0.589]","Cover_stability_alpha_res_log_z","Pop_stab_log_z",0.0887129496402878,-0.13241,0.24262,"No"
"180","[0.383,0.589]","Cover_stability_alpha_res_log_z","Statistical_averaging_z",0.0692383350462487,0.02573,0.16327,"Yes"
"181","[0.383,0.589]","Cover_stability_alpha_res_log_z","Tile.Type2",0.117797122302158,0.03416,0.2014,"Yes"
"182","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Consumer_mean_log_z",-0.1503404,-0.5681625,-0.0942975,"Yes"
"183","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Emersion.Rate_z",-0.635145,-0.963455,-0.4878,"Yes"
"184","[0.383,0.589]","Eph_macroalgae_mean_sqrt_z","Tile.Type2",-0.2199694,-0.30751,-0.148285,"Yes"
"185","[0.383,0.589]","Pielou_mean_z","Consumer_mean_log_z",0.0266508,-0.0442025,0.0902075,"No"
"186","[0.383,0.589]","Pielou_mean_z","Emersion.Rate_z",-0.4447092,-0.5714025,-0.3467975,"Yes"
"187","[0.383,0.589]","Pielou_mean_z","Tile.Type2",0.3515583,0.0155675,0.5147075,"Yes"
"188","[0.383,0.589]","Pop_stab_log_z","Barnacles1_mean_z",-0.1904791,-0.268245,-0.1222825,"Yes"
"189","[0.383,0.589]","Pop_stab_log_z","Barnacles2_mean_sqrt_z",0.1326251,0.0992925,0.1782025,"Yes"
"190","[0.383,0.589]","Pop_stab_log_z","Consumer_mean_log_z",-0.0032973,-0.0233,0.024305,"No"
"191","[0.383,0.589]","Pop_stab_log_z","Emersion.Rate_z",0.0795677,0.0134925,0.1577075,"Yes"
"192","[0.383,0.589]","Pop_stab_log_z","Eph_macroalgae_mean_sqrt_z",-0.4022408,-0.58281,-0.2505625,"Yes"
"193","[0.383,0.589]","Pop_stab_log_z","Pielou_mean_z",-0.0179354,-0.06614,0.018,"No"
"194","[0.383,0.589]","Pop_stab_log_z","S_mean_log_z",-0.1189452,-0.1596075,-0.0713900000000001,"Yes"
"195","[0.383,0.589]","Pop_stab_log_z","Tile.Type2",0.3254647,0.24908,0.40232,"Yes"
"196","[0.383,0.589]","S_mean_log_z","Consumer_mean_log_z",-0.0554936,-0.1898125,0.3755025,"No"
"197","[0.383,0.589]","S_mean_log_z","Emersion.Rate_z",-0.4773337,-0.7239425,0.084605,"No"
"198","[0.383,0.589]","S_mean_log_z","Tile.Type2",0.2657167,0.075095,0.406605,"Yes"
"199","[0.383,0.589]","Statistical_averaging_z","Barnacles1_mean_z",-0.133221686746988,-0.28783,-0.0249549999999999,"Yes"
"200","[0.383,0.589]","Statistical_averaging_z","Barnacles2_mean_sqrt_z",0.0963408299866131,-0.03757,0.71261,"No"
"201","[0.383,0.589]","Statistical_averaging_z","Consumer_mean_log_z",0.151482730923695,0.072095,0.883875,"Yes"
"202","[0.383,0.589]","Statistical_averaging_z","Emersion.Rate_z",-0.15984484605087,-0.26158,-0.058985,"Yes"
"203","[0.383,0.589]","Statistical_averaging_z","Eph_macroalgae_mean_sqrt_z",0.0869435073627845,-0.03942,0.507335,"No"
"204","[0.383,0.589]","Statistical_averaging_z","Pielou_mean_z",0.267019009370817,-0.131925,0.469045,"No"
"205","[0.383,0.589]","Statistical_averaging_z","S_mean_log_z",0.198313253012048,0.1071,0.327765,"Yes"
"206","[0.383,0.589]","Statistical_averaging_z","Tile.Type2",0.211383801874163,-0.04414,0.562875,"No"
