"","Transect","Station","Date","Tile.Type","Tile","Tile.Date","Taxa","cover_sum"
"76",1,1,"17/10/2020","R","1 1 R","1 1 R 17/10/2020","LN",0.0111004756242568
"77",1,1,"17/10/2020","R","1 1 R","1 1 R 17/10/2020","LS",0.00292140309155767
"78",1,1,"17/10/2020","R","1 1 R","1 1 R 17/10/2020","ME",0.0351773730830573
"79",1,1,"17/10/2020","R","1 1 R","1 1 R 17/10/2020","PD",0.00792544589774078
"80",1,1,"17/10/2020","R","1 1 R","1 1 R 17/10/2020","PV",0.0118937096115808
"81",1,1,"17/10/2020","R","1 1 R","1 1 R 17/10/2020","SB",0.437504910808489
"82",1,1,"17/10/2020","S","1 1 S","1 1 S 17/10/2020","AM",0.494
"83",1,1,"17/10/2020","S","1 1 S","1 1 S 17/10/2020","BS",0.22
"84",1,1,"17/10/2020","S","1 1 S","1 1 S 17/10/2020","CHM",0.04
"85",1,1,"17/10/2020","S","1 1 S","1 1 S 17/10/2020","LN",0.022156242568371
"86",1,1,"17/10/2020","S","1 1 S","1 1 S 17/10/2020","LS",0.0144601664684899
"87",1,1,"17/10/2020","S","1 1 S","1 1 S 17/10/2020","ME",0.01
"88",1,1,"17/10/2020","S","1 1 S","1 1 S 17/10/2020","PV",0.0388002378121284
"89",1,1,"17/10/2020","S","1 1 S","1 1 S 17/10/2020","SB",0.316
"90",1,1,"20/01/2022","R","1 1 R","1 1 R 20/01/2022","AM",0.0984561423138265
"91",1,1,"20/01/2022","R","1 1 R","1 1 R 20/01/2022","AMR",0.000574673008323424
"92",1,1,"20/01/2022","R","1 1 R","1 1 R 20/01/2022","BS",0.452676480431849
"93",1,1,"20/01/2022","R","1 1 R","1 1 R 20/01/2022","CHM",0.0164821680775365
"94",1,1,"20/01/2022","R","1 1 R","1 1 R 20/01/2022","LN",0.00164399524375743
"95",1,1,"20/01/2022","R","1 1 R","1 1 R 20/01/2022","ME",0.0857885923199606
"96",1,1,"20/01/2022","R","1 1 R","1 1 R 20/01/2022","PV",0.058589390099564
"97",1,1,"20/01/2022","R","1 1 R","1 1 R 20/01/2022","SB",0.558558563121089
"98",1,1,"20/01/2022","S","1 1 S","1 1 S 20/01/2022","AM",0.153526970954357
"99",1,1,"20/01/2022","S","1 1 S","1 1 S 20/01/2022","AMR",0.000143281807372176
"100",1,1,"20/01/2022","S","1 1 S","1 1 S 20/01/2022","BS",0.132780082987552
"101",1,1,"20/01/2022","S","1 1 S","1 1 S 20/01/2022","CHM",0.0435684647302905
"102",1,1,"20/01/2022","S","1 1 S","1 1 S 20/01/2022","LN",0.00526682520808561
"103",1,1,"20/01/2022","S","1 1 S","1 1 S 20/01/2022","ME",0.0767634854771784
"104",1,1,"20/01/2022","S","1 1 S","1 1 S 20/01/2022","PV",0.0329413709227802
"105",1,1,"20/01/2022","S","1 1 S","1 1 S 20/01/2022","SB",0.620331950207469
"106",1,1,"20/07/2020","R","1 1 R","1 1 R 20/07/2020","AM",0.320557643479328
"107",1,1,"20/07/2020","R","1 1 R","1 1 R 20/07/2020","AMR",0.000118549346016647
"108",1,1,"20/07/2020","R","1 1 R","1 1 R 20/07/2020","BS",0.426497138510612
"109",1,1,"20/07/2020","R","1 1 R","1 1 R 20/07/2020","CHM",0.0216655811556864
"110",1,1,"20/07/2020","R","1 1 R","1 1 R 20/07/2020","LN",0.012373840665874
"111",1,1,"20/07/2020","R","1 1 R","1 1 R 20/07/2020","LS",0.00621391200951248
"112",1,1,"20/07/2020","R","1 1 R","1 1 R 20/07/2020","ME",0.0201803930806036
"113",1,1,"20/07/2020","R","1 1 R","1 1 R 20/07/2020","PV",0.0117833509184768
"114",1,1,"20/07/2020","R","1 1 R","1 1 R 20/07/2020","SB",0.601015993129678
"115",1,1,"20/07/2020","S","1 1 S","1 1 S 20/07/2020","AM",0.53
"116",1,1,"20/07/2020","S","1 1 S","1 1 S 20/07/2020","BS",0.128
"117",1,1,"20/07/2020","S","1 1 S","1 1 S 20/07/2020","CHM",0.046
"118",1,1,"20/07/2020","S","1 1 S","1 1 S 20/07/2020","LN",0.0118152199762188
"119",1,1,"20/07/2020","S","1 1 S","1 1 S 20/07/2020","LS",0.0294964328180737
"120",1,1,"20/07/2020","S","1 1 S","1 1 S 20/07/2020","ME",0.002
"121",1,1,"20/07/2020","S","1 1 S","1 1 S 20/07/2020","PV",0.0267504161712247
"122",1,1,"20/07/2020","S","1 1 S","1 1 S 20/07/2020","SB",0.412
"123",1,1,"20/07/2020","S","1 1 S","1 1 S 20/07/2020","US1",0.016
"124",1,1,"21/01/2020","R","1 1 R","1 1 R 21/01/2020","AM",0.452589577720525
"125",1,1,"21/01/2020","R","1 1 R","1 1 R 21/01/2020","BS",0.457918090050301
"126",1,1,"21/01/2020","R","1 1 R","1 1 R 21/01/2020","CHM",0.0113569515396884
"127",1,1,"21/01/2020","R","1 1 R","1 1 R 21/01/2020","LN",0.00735576694411415
"128",1,1,"21/01/2020","R","1 1 R","1 1 R 21/01/2020","LS",0.00389060642092747
"129",1,1,"21/01/2020","R","1 1 R","1 1 R 21/01/2020","ME",0.000941498216409037
"130",1,1,"21/01/2020","R","1 1 R","1 1 R 21/01/2020","PD",0.00848192627824019
"131",1,1,"21/01/2020","R","1 1 R","1 1 R 21/01/2020","PV",0.0141907530580274
"132",1,1,"21/01/2020","R","1 1 R","1 1 R 21/01/2020","SB",0.408850255428782
"133",1,1,"21/01/2020","S","1 1 S","1 1 S 21/01/2020","AM",0.714
"134",1,1,"21/01/2020","S","1 1 S","1 1 S 21/01/2020","BS",0.272
"135",1,1,"21/01/2020","S","1 1 S","1 1 S 21/01/2020","CHM",0.028
"136",1,1,"21/01/2020","S","1 1 S","1 1 S 21/01/2020","LN",0.0120915576694411
"137",1,1,"21/01/2020","S","1 1 S","1 1 S 21/01/2020","LS",0.00245612366230678
"138",1,1,"21/01/2020","S","1 1 S","1 1 S 21/01/2020","ME",0.002
"139",1,1,"21/01/2020","S","1 1 S","1 1 S 21/01/2020","PV",0.0352990487514863
"140",1,1,"21/01/2020","S","1 1 S","1 1 S 21/01/2020","SB",0.052
"141",1,1,"27/04/2021","R","1 1 R","1 1 R 27/04/2021","AM",0.140738982701509
"142",1,1,"27/04/2021","R","1 1 R","1 1 R 27/04/2021","AMR",0.000584780023781213
"143",1,1,"27/04/2021","R","1 1 R","1 1 R 27/04/2021","BS",0.563974762360447
"144",1,1,"27/04/2021","R","1 1 R","1 1 R 27/04/2021","CHM",0.0293825042326095
"145",1,1,"27/04/2021","R","1 1 R","1 1 R 27/04/2021","LN",0.00119631391200951
"146",1,1,"27/04/2021","R","1 1 R","1 1 R 27/04/2021","ME",0.044990940007361
"147",1,1,"27/04/2021","R","1 1 R","1 1 R 27/04/2021","PD",0.0139724137931034
"148",1,1,"27/04/2021","R","1 1 R","1 1 R 27/04/2021","PV",0.0348862975936804
"149",1,1,"27/04/2021","R","1 1 R","1 1 R 27/04/2021","SB",0.362199537725433
"150",1,1,"27/04/2021","S","1 1 S","1 1 S 27/04/2021","AM",0.326315789473684
"151",1,1,"27/04/2021","S","1 1 S","1 1 S 27/04/2021","BS",0.303157894736842
"152",1,1,"27/04/2021","S","1 1 S","1 1 S 27/04/2021","CHM",0.0421052631578947
"153",1,1,"27/04/2021","S","1 1 S","1 1 S 27/04/2021","LN",0.0096782401902497
"154",1,1,"27/04/2021","S","1 1 S","1 1 S 27/04/2021","LS",0.000681688466111772
"155",1,1,"27/04/2021","S","1 1 S","1 1 S 27/04/2021","ME",0.0126315789473684
"156",1,1,"27/04/2021","S","1 1 S","1 1 S 27/04/2021","PV",0.0746171475061018
"157",1,1,"27/04/2021","S","1 1 S","1 1 S 27/04/2021","SB",0.284210526315789
"158",1,1,"27/10/2019","R","1 1 R","1 1 R 27/10/2019","AM",0.533020167341431
"159",1,1,"27/10/2019","R","1 1 R","1 1 R 27/10/2019","BS",0.413101739663845
"160",1,1,"27/10/2019","R","1 1 R","1 1 R 27/10/2019","CHM",0.0139486580787633
"161",1,1,"27/10/2019","R","1 1 R","1 1 R 27/10/2019","LN",0.00804839476813318
"162",1,1,"27/10/2019","R","1 1 R","1 1 R 27/10/2019","LS",0.0037551724137931
"163",1,1,"27/10/2019","R","1 1 R","1 1 R 27/10/2019","ME",0.00466527942925089
"164",1,1,"27/10/2019","R","1 1 R","1 1 R 27/10/2019","PD",0.00303305588585018
"165",1,1,"27/10/2019","R","1 1 R","1 1 R 27/10/2019","PV",0.0206724093280356
"166",1,1,"27/10/2019","R","1 1 R","1 1 R 27/10/2019","SB",0.432059221199853
"167",1,1,"27/10/2019","S","1 1 S","1 1 S 27/10/2019","AM",0.872
"168",1,1,"27/10/2019","S","1 1 S","1 1 S 27/10/2019","BS",0.156
"169",1,1,"27/10/2019","S","1 1 S","1 1 S 27/10/2019","CHM",0.032
"170",1,1,"27/10/2019","S","1 1 S","1 1 S 27/10/2019","LN",0.0130778834720571
"171",1,1,"27/10/2019","S","1 1 S","1 1 S 27/10/2019","LS",0.010621046373365
"172",1,1,"27/10/2019","S","1 1 S","1 1 S 27/10/2019","PD",0.00422259215219976
"173",1,1,"27/10/2019","S","1 1 S","1 1 S 27/10/2019","PV",0.0109737217598098
"174",1,1,"27/10/2019","S","1 1 S","1 1 S 27/10/2019","SB",0.056
"175",1,2,"01/04/2022","R","1 2 R","1 2 R 01/04/2022","AM",0.104226795280743
"176",1,2,"01/04/2022","R","1 2 R","1 2 R 01/04/2022","BS",0.443691540915226
"177",1,2,"01/04/2022","R","1 2 R","1 2 R 01/04/2022","CHM",0.00964615384615384
"178",1,2,"01/04/2022","R","1 2 R","1 2 R 01/04/2022","ME",0.109686805299963
"179",1,2,"01/04/2022","R","1 2 R","1 2 R 01/04/2022","PV",0.00769228025244672
"180",1,2,"01/04/2022","R","1 2 R","1 2 R 01/04/2022","SB",0.465835504846031
"181",1,2,"01/04/2022","S","1 2 S","1 2 S 01/04/2022","AM",0.242677824267782
"182",1,2,"01/04/2022","S","1 2 S","1 2 S 01/04/2022","BS",0.110878661087866
"183",1,2,"01/04/2022","S","1 2 S","1 2 S 01/04/2022","CHM",0.00836820083682008
"184",1,2,"01/04/2022","S","1 2 S","1 2 S 01/04/2022","LN",0.000257193816884661
"185",1,2,"01/04/2022","S","1 2 S","1 2 S 01/04/2022","ME",0.0648535564853557
"186",1,2,"01/04/2022","S","1 2 S","1 2 S 01/04/2022","PD",0.00980689655172414
"187",1,2,"01/04/2022","S","1 2 S","1 2 S 01/04/2022","PV",0.0825800222886681
"188",1,2,"01/04/2022","S","1 2 S","1 2 S 01/04/2022","SB",0.556485355648536
"189",1,2,"09/10/2021","R","1 2 R","1 2 R 09/10/2021","AM",0.14174704489422
"190",1,2,"09/10/2021","R","1 2 R","1 2 R 09/10/2021","BS",0.43268386696021
"191",1,2,"09/10/2021","R","1 2 R","1 2 R 09/10/2021","CHM",0.00628669904433652
"192",1,2,"09/10/2021","R","1 2 R","1 2 R 09/10/2021","ME",0.0808966030931944
"193",1,2,"09/10/2021","R","1 2 R","1 2 R 09/10/2021","PSP",0.00263921236158346
"194",1,2,"09/10/2021","R","1 2 R","1 2 R 09/10/2021","SB",0.592490555430206
"195",1,2,"09/10/2021","R","1 2 R","1 2 R 09/10/2021","US2",0.00596132993349792
"196",1,2,"09/10/2021","S","1 2 S","1 2 S 09/10/2021","AM",0.25
"197",1,2,"09/10/2021","S","1 2 S","1 2 S 09/10/2021","BS",0.0942622950819672
"198",1,2,"09/10/2021","S","1 2 S","1 2 S 09/10/2021","CHM",0.00819672131147541
"199",1,2,"09/10/2021","S","1 2 S","1 2 S 09/10/2021","LN",0.00107502972651605
"200",1,2,"09/10/2021","S","1 2 S","1 2 S 09/10/2021","LS",0.000395957193816885
"201",1,2,"09/10/2021","S","1 2 S","1 2 S 09/10/2021","ME",0.0450819672131148
"202",1,2,"09/10/2021","S","1 2 S","1 2 S 09/10/2021","PD",0.0157634958382878
"203",1,2,"09/10/2021","S","1 2 S","1 2 S 09/10/2021","PV",0.0581615114715113
"204",1,2,"09/10/2021","S","1 2 S","1 2 S 09/10/2021","SB",0.64344262295082
"205",1,2,"12/04/2020","R","1 2 R","1 2 R 12/04/2020","AM",0.213889515396884
"206",1,2,"12/04/2020","R","1 2 R","1 2 R 12/04/2020","BS",0.485145753895228
"207",1,2,"12/04/2020","R","1 2 R","1 2 R 12/04/2020","CHM",0.0159642476904784
"208",1,2,"12/04/2020","R","1 2 R","1 2 R 12/04/2020","LN",0.00516456599286564
"209",1,2,"12/04/2020","R","1 2 R","1 2 R 12/04/2020","LS",0.000929726516052319
"210",1,2,"12/04/2020","R","1 2 R","1 2 R 12/04/2020","ME",0.00827018230891915
"211",1,2,"12/04/2020","R","1 2 R","1 2 R 12/04/2020","PS",0.00375101070154578
"212",1,2,"12/04/2020","R","1 2 R","1 2 R 12/04/2020","PV",0.00377108972834538
"213",1,2,"12/04/2020","R","1 2 R","1 2 R 12/04/2020","SB",0.50911205888848
"214",1,2,"12/04/2020","S","1 2 S","1 2 S 12/04/2020","AM",0.22
"215",1,2,"12/04/2020","S","1 2 S","1 2 S 12/04/2020","BS",0.328
"216",1,2,"12/04/2020","S","1 2 S","1 2 S 12/04/2020","CHM",0.02
"217",1,2,"12/04/2020","S","1 2 S","1 2 S 12/04/2020","LN",0.00428382877526754
"218",1,2,"12/04/2020","S","1 2 S","1 2 S 12/04/2020","LS",0.00446860879904875
"219",1,2,"12/04/2020","S","1 2 S","1 2 S 12/04/2020","ME",0.000910463733650416
"220",1,2,"12/04/2020","S","1 2 S","1 2 S 12/04/2020","PD",0.0105365041617122
"221",1,2,"12/04/2020","S","1 2 S","1 2 S 12/04/2020","PV",0.0117656361474435
"222",1,2,"12/04/2020","S","1 2 S","1 2 S 12/04/2020","SB",0.508
"223",1,2,"13/07/2021","R","1 2 R","1 2 R 13/07/2021","AM",0.130148657785726
"224",1,2,"13/07/2021","R","1 2 R","1 2 R 13/07/2021","BS",0.429153521755395
"225",1,2,"13/07/2021","R","1 2 R","1 2 R 13/07/2021","CHM",0.00473430863614913
"226",1,2,"13/07/2021","R","1 2 R","1 2 R 13/07/2021","LN",0.00108478002378121
"227",1,2,"13/07/2021","R","1 2 R","1 2 R 13/07/2021","LS",0.00578608799048751
"228",1,2,"13/07/2021","R","1 2 R","1 2 R 13/07/2021","ME",0.071252652201958
"229",1,2,"13/07/2021","R","1 2 R","1 2 R 13/07/2021","PS",0.000501307966706302
"230",1,2,"13/07/2021","R","1 2 R","1 2 R 13/07/2021","PSP",0.00265000668617072
"231",1,2,"13/07/2021","R","1 2 R","1 2 R 13/07/2021","SB",0.624957290046086
"232",1,2,"13/07/2021","R","1 2 R","1 2 R 13/07/2021","US1",0.00265000668617072
"233",1,2,"13/07/2021","S","1 2 S","1 2 S 13/07/2021","AM",0.139004149377593
"234",1,2,"13/07/2021","S","1 2 S","1 2 S 13/07/2021","BS",0.103734439834025
"235",1,2,"13/07/2021","S","1 2 S","1 2 S 13/07/2021","CHM",0.012448132780083
"236",1,2,"13/07/2021","S","1 2 S","1 2 S 13/07/2021","LN",0.00041973840665874
"237",1,2,"13/07/2021","S","1 2 S","1 2 S 13/07/2021","LS",0.00192853745541023
"238",1,2,"13/07/2021","S","1 2 S","1 2 S 13/07/2021","ME",0.0497925311203319
"239",1,2,"13/07/2021","S","1 2 S","1 2 S 13/07/2021","PV",0.0147367893389119
"240",1,2,"13/07/2021","S","1 2 S","1 2 S 13/07/2021","SB",0.761410788381743
"241",1,2,"13/07/2021","S","1 2 S","1 2 S 13/07/2021","US1",0.0171202140309156
"242",1,2,"13/07/2021","S","1 2 S","1 2 S 13/07/2021","US2",0.0020746887966805
"243",1,2,"17/10/2020","R","1 2 R","1 2 R 17/10/2020","AM",0.210802746166114
"244",1,2,"17/10/2020","R","1 2 R","1 2 R 17/10/2020","BS",0.464528494663232
"245",1,2,"17/10/2020","R","1 2 R","1 2 R 17/10/2020","CHM",0.0133953988467673
"246",1,2,"17/10/2020","R","1 2 R","1 2 R 17/10/2020","GU",0.000298216409036861
"247",1,2,"17/10/2020","R","1 2 R","1 2 R 17/10/2020","LN",0.00341165279429251
"248",1,2,"17/10/2020","R","1 2 R","1 2 R 17/10/2020","LS",0.00759631391200951
"249",1,2,"17/10/2020","R","1 2 R","1 2 R 17/10/2020","ME",0.0532611223162802
"250",1,2,"17/10/2020","R","1 2 R","1 2 R 17/10/2020","PV",0.020920793411399
"251",1,2,"17/10/2020","R","1 2 R","1 2 R 17/10/2020","SB",0.531156309655257
"252",1,2,"17/10/2020","S","1 2 S","1 2 S 17/10/2020","AM",0.206
"253",1,2,"17/10/2020","S","1 2 S","1 2 S 17/10/2020","BS",0.216
"254",1,2,"17/10/2020","S","1 2 S","1 2 S 17/10/2020","CHM",0.026
"255",1,2,"17/10/2020","S","1 2 S","1 2 S 17/10/2020","LN",0.0139519619500595
"256",1,2,"17/10/2020","S","1 2 S","1 2 S 17/10/2020","LS",0.0138445897740785
"257",1,2,"17/10/2020","S","1 2 S","1 2 S 17/10/2020","ME",0.0103739595719382
"258",1,2,"17/10/2020","S","1 2 S","1 2 S 17/10/2020","PD",0.00373793103448276
"259",1,2,"17/10/2020","S","1 2 S","1 2 S 17/10/2020","PV",0.0166708680142687
"260",1,2,"17/10/2020","S","1 2 S","1 2 S 17/10/2020","SB",0.642
"261",1,2,"17/10/2020","S","1 2 S","1 2 S 17/10/2020","US2",0.002
"262",1,2,"20/01/2022","R","1 2 R","1 2 R 20/01/2022","AM",0.107958599523426
"263",1,2,"20/01/2022","R","1 2 R","1 2 R 20/01/2022","BS",0.439143717215604
"264",1,2,"20/01/2022","R","1 2 R","1 2 R 20/01/2022","CHM",0.0094108818011257
"265",1,2,"20/01/2022","R","1 2 R","1 2 R 20/01/2022","ME",0.105946149557189
"266",1,2,"20/01/2022","R","1 2 R","1 2 R 20/01/2022","PV",0.0100054409005629
"267",1,2,"20/01/2022","R","1 2 R","1 2 R 20/01/2022","SB",0.503273981046767
"268",1,2,"20/01/2022","S","1 2 S","1 2 S 20/01/2022","AM",0.258333333333333
"269",1,2,"20/01/2022","S","1 2 S","1 2 S 20/01/2022","BS",0.102083333333333
"270",1,2,"20/01/2022","S","1 2 S","1 2 S 20/01/2022","CHM",0.0104166666666667
"271",1,2,"20/01/2022","S","1 2 S","1 2 S 20/01/2022","ME",0.0666666666666667
"272",1,2,"20/01/2022","S","1 2 S","1 2 S 20/01/2022","PD",0.018972175980975
"273",1,2,"20/01/2022","S","1 2 S","1 2 S 20/01/2022","PV",0.0710884066587396
"274",1,2,"20/01/2022","S","1 2 S","1 2 S 20/01/2022","SB",0.585416666666667
"275",1,2,"20/07/2020","R","1 2 R","1 2 R 20/07/2020","AM",0.241175375782112
"276",1,2,"20/07/2020","R","1 2 R","1 2 R 20/07/2020","BS",0.406811808121703
"277",1,2,"20/07/2020","R","1 2 R","1 2 R 20/07/2020","CHM",0.010308629615998
"278",1,2,"20/07/2020","R","1 2 R","1 2 R 20/07/2020","LN",0.0077026159334126
"279",1,2,"20/07/2020","R","1 2 R","1 2 R 20/07/2020","LS",0.0229090368608799
"280",1,2,"20/07/2020","R","1 2 R","1 2 R 20/07/2020","ME",0.0258588688504478
"281",1,2,"20/07/2020","R","1 2 R","1 2 R 20/07/2020","SB",0.638989152741995
"282",1,2,"20/07/2020","R","1 2 R","1 2 R 20/07/2020","US1",0.0247523503864557
"283",1,2,"20/07/2020","S","1 2 S","1 2 S 20/07/2020","AM",0.24
"284",1,2,"20/07/2020","S","1 2 S","1 2 S 20/07/2020","BS",0.14
"285",1,2,"20/07/2020","S","1 2 S","1 2 S 20/07/2020","CHM",0.026
"286",1,2,"20/07/2020","S","1 2 S","1 2 S 20/07/2020","LN",0.0195166468489893
"287",1,2,"20/07/2020","S","1 2 S","1 2 S 20/07/2020","LS",0.0172701545778835
"288",1,2,"20/07/2020","S","1 2 S","1 2 S 20/07/2020","ME",0.006
"289",1,2,"20/07/2020","S","1 2 S","1 2 S 20/07/2020","PD",0.0124997621878716
"290",1,2,"20/07/2020","S","1 2 S","1 2 S 20/07/2020","SB",0.708
"291",1,2,"20/07/2020","S","1 2 S","1 2 S 20/07/2020","US1",0.012
"292",1,2,"21/01/2020","R","1 2 R","1 2 R 21/01/2020","AM",0.286486788860262
"293",1,2,"21/01/2020","R","1 2 R","1 2 R 21/01/2020","BS",0.441872788124157
"294",1,2,"21/01/2020","R","1 2 R","1 2 R 21/01/2020","CHM",0.00932300338424952
