"","Transect","Station","Tile.Type","Date","Season","Year","Altitude","Emersion.Rate","AltGroup","Tile","Tile.Date","S","Hill_ev","Hill_dom","Total_cov"
"32","1","2","S",2021-10-09,"Autumn",2021,52.40084457,0.840258836,"[52.0,54.2]","1 2 S","1 2 S 2021-10-09",8,2.85717392189502,2.16635067956313,1.02211730570554
"33","1","2","S",2020-04-12,"Spring",2020,52.40084457,0.840258836,"[52.0,54.2]","1 2 S","1 2 S 2020-04-12",8,2.5033884269594,1.98059685204559,0.779965041617122
"34","1","2","S",2021-07-13,"Summer",2021,52.40084457,0.840258836,"[52.0,54.2]","1 2 S","1 2 S 2021-07-13",9,2.32930331999494,1.65698610134288,0.998935569688328
"35","1","2","S",2020-10-17,"Autumn",2020,52.40084457,0.840258836,"[52.0,54.2]","1 2 S","1 2 S 2020-10-17",9,2.6461681347587,1.91515876173498,0.934579310344828
"36","1","2","S",2022-01-20,"Winter",2022,52.40084457,0.840258836,"[52.0,54.2]","1 2 S","1 2 S 2022-01-20",6,3.16688722789555,2.43650303834623,1.01089391597305
"37","1","2","S",2020-07-20,"Summer",2020,52.40084457,0.840258836,"[52.0,54.2]","1 2 S","1 2 S 2020-07-20",8,2.63649114256048,1.93429178291121,1.04128656361474
"38","1","2","S",2020-01-21,"Winter",2020,52.40084457,0.840258836,"[52.0,54.2]","1 2 S","1 2 S 2020-01-21",7,2.41892696013528,2.10461100921517,0.946114744351962
"39","1","2","S",2021-04-27,"Spring",2021,52.40084457,0.840258836,"[52.0,54.2]","1 2 S","1 2 S 2021-04-27",6,2.77495713089024,2.03699618409455,0.708636735094978
"40","1","2","S",2019-10-27,"Autumn",2019,52.40084457,0.840258836,"[52.0,54.2]","1 2 S","1 2 S 2019-10-27",8,2.3324040232762,2.12489527049485,1.1416372175981
"41","1","3","R",2022-04-01,"Spring",2022,51.59947008,0.815708423,"[50.6,52.0)","1 3 R","1 3 R 2022-04-01",6,2.99863716235632,2.34785378495557,0.37494364618992
"42","1","3","R",2021-10-09,"Autumn",2021,51.59947008,0.815708423,"[50.6,52.0)","1 3 R","1 3 R 2021-10-09",7,2.8185587457536,2.09821713315201,0.931198772131815
"43","1","3","R",2020-04-12,"Spring",2020,51.59947008,0.815708423,"[50.6,52.0)","1 3 R","1 3 R 2020-04-12",8,2.67511014852618,2.28200986297908,0.806116467499374
"44","1","3","R",2021-07-13,"Summer",2021,51.59947008,0.815708423,"[50.6,52.0)","1 3 R","1 3 R 2021-07-13",7,2.10578231500358,1.60002368839513,0.891728265783617
"45","1","3","R",2020-10-17,"Autumn",2020,51.59947008,0.815708423,"[50.6,52.0)","1 3 R","1 3 R 2020-10-17",9,3.76154607317646,3.07728635662088,0.929123853055387
"46","1","3","R",2022-01-20,"Winter",2022,51.59947008,0.815708423,"[50.6,52.0)","1 3 R","1 3 R 2022-01-20",6,2.88336089705881,2.26371761655901,0.845929648878747
"47","1","3","R",2020-07-20,"Summer",2020,51.59947008,0.815708423,"[50.6,52.0)","1 3 R","1 3 R 2020-07-20",8,3.30102118349167,2.634735414218,0.992649960907024
"48","1","3","R",2020-01-21,"Winter",2020,51.59947008,0.815708423,"[50.6,52.0)","1 3 R","1 3 R 2020-01-21",8,2.79916233554735,2.34722891510515,0.905500637693616
"49","1","3","R",2021-04-27,"Spring",2021,51.59947008,0.815708423,"[50.6,52.0)","1 3 R","1 3 R 2021-04-27",5,3.50962796994064,3.14240099857474,0.714424355472976
"50","1","3","R",2019-10-27,"Autumn",2019,51.59947008,0.815708423,"[50.6,52.0)","1 3 R","1 3 R 2019-10-27",8,2.74074003680826,2.30218897917456,0.942159798728256
"51","1","3","S",2022-04-01,"Spring",2022,51.63314807,0.816697702,"[50.6,52.0)","1 3 S","1 3 S 2022-04-01",6,2.7189472762464,2.18562882094399,0.928048915436236
"52","1","3","S",2021-10-09,"Autumn",2021,51.63314807,0.816697702,"[50.6,52.0)","1 3 S","1 3 S 2021-10-09",7,2.72069742002883,2.1583571255335,1.02603321698439
"53","1","3","S",2020-04-12,"Spring",2020,51.63314807,0.816697702,"[50.6,52.0)","1 3 S","1 3 S 2020-04-12",8,2.70197356257948,2.20017823687702,1.03737926673799
"54","1","3","S",2021-07-13,"Summer",2021,51.63314807,0.816697702,"[50.6,52.0)","1 3 S","1 3 S 2021-07-13",7,2.23100485703919,1.67303442664481,0.972196141098424
"55","1","3","S",2020-10-17,"Autumn",2020,51.63314807,0.816697702,"[50.6,52.0)","1 3 S","1 3 S 2020-10-17",7,3.2322064832819,2.57258858257953,1.01186661381953
"56","1","3","S",2022-01-20,"Winter",2022,51.63314807,0.816697702,"[50.6,52.0)","1 3 S","1 3 S 2022-01-20",6,2.58637586559963,2.09649113257157,0.965814048495118
"57","1","3","S",2020-07-20,"Summer",2020,51.63314807,0.816697702,"[50.6,52.0)","1 3 S","1 3 S 2020-07-20",9,3.07144594367842,2.31391598896931,1.16717268533915
"58","1","3","S",2020-01-21,"Winter",2020,51.63314807,0.816697702,"[50.6,52.0)","1 3 S","1 3 S 2020-01-21",8,2.69584941651059,2.26502453367082,1.15897621878716
"59","1","3","S",2021-04-27,"Spring",2021,51.63314807,0.816697702,"[50.6,52.0)","1 3 S","1 3 S 2021-04-27",5,3.45067254765925,2.92817196467896,0.773504851563959
"60","1","3","S",2019-10-27,"Autumn",2019,51.63314807,0.816697702,"[50.6,52.0)","1 3 S","1 3 S 2019-10-27",8,2.71997175432096,2.29690115926919,1.22427971734194
"61","1","4","R",2022-04-01,"Spring",2022,50.63983976,0.785240189,"[49.8,50.6)","1 4 R","1 4 R 2022-04-01",4,3.11482949791239,2.92809286546525,0.488199967700744
"62","1","4","R",2021-10-09,"Autumn",2021,50.63983976,0.785240189,"[49.8,50.6)","1 4 R","1 4 R 2021-10-09",7,3.3687017059783,2.88202849720511,1.00893544733348
"63","1","4","R",2020-04-12,"Spring",2020,50.63983976,0.785240189,"[49.8,50.6)","1 4 R","1 4 R 2020-04-12",6,1.85814566536992,1.52098249676251,0.70587008953435
"64","1","4","R",2021-07-13,"Summer",2021,50.63983976,0.785240189,"[49.8,50.6)","1 4 R","1 4 R 2021-07-13",7,3.06305169295228,2.11827096910844,1.20340459223209
"65","1","4","R",2020-10-17,"Autumn",2020,50.63983976,0.785240189,"[49.8,50.6)","1 4 R","1 4 R 2020-10-17",13,3.64957580918549,2.92498179318877,0.871207613929179
"66","1","4","R",2022-01-20,"Winter",2022,50.63983976,0.785240189,"[49.8,50.6)","1 4 R","1 4 R 2022-01-20",5,3.00468120622343,2.73938616350695,0.752019980067448
"67","1","4","R",2020-01-21,"Winter",2020,50.63983976,0.785240189,"[49.8,50.6)","1 4 R","1 4 R 2020-01-21",8,1.95231645542057,1.51918243486989,0.858677759335729
"68","1","4","R",2021-04-27,"Spring",2021,50.63983976,0.785240189,"[49.8,50.6)","1 4 R","1 4 R 2021-04-27",10,3.34457786880551,2.9522492123636,0.664485441374781
"69","1","4","R",2019-10-27,"Autumn",2019,50.63983976,0.785240189,"[49.8,50.6)","1 4 R","1 4 R 2019-10-27",9,1.96745518961966,1.5005582308044,0.954222202848115
"70","1","4","S",2022-04-01,"Spring",2022,50.64850402,0.785553565,"[50.6,52.0)","1 4 S","1 4 S 2022-04-01",3,2.53948135536054,2.31912058627582,0.519823788546255
"71","1","4","S",2021-10-09,"Autumn",2021,50.64850402,0.785553565,"[50.6,52.0)","1 4 S","1 4 S 2021-10-09",8,3.01237174764828,2.69036693878023,0.994357372776516
"72","1","4","S",2020-04-12,"Spring",2020,50.64850402,0.785553565,"[50.6,52.0)","1 4 S","1 4 S 2020-04-12",6,2.09508058681831,1.68259058342252,0.788303567181926
"73","1","4","S",2021-07-13,"Summer",2021,50.64850402,0.785553565,"[50.6,52.0)","1 4 S","1 4 S 2021-07-13",8,3.3938303068943,2.99226228061078,1.36578039382292
"74","1","4","S",2020-10-17,"Autumn",2020,50.64850402,0.785553565,"[50.6,52.0)","1 4 S","1 4 S 2020-10-17",7,2.75756310216447,2.47585132193302,0.903664505345997
"75","1","4","S",2022-01-20,"Winter",2022,50.64850402,0.785553565,"[50.6,52.0)","1 4 S","1 4 S 2022-01-20",4,2.60905365019666,2.40106168665126,0.599907598752891
"76","1","4","S",2020-07-20,"Summer",2020,50.64850402,0.785553565,"[50.6,52.0)","1 4 S","1 4 S 2020-07-20",12,4.06794308553285,3.45896194043494,1.19239899970573
"77","1","4","S",2020-01-21,"Winter",2020,50.64850402,0.785553565,"[50.6,52.0)","1 4 S","1 4 S 2020-01-21",7,1.96673861630559,1.56811986948537,0.922499048751486
"78","1","4","S",2021-04-27,"Spring",2021,50.64850402,0.785553565,"[50.6,52.0)","1 4 S","1 4 S 2021-04-27",7,3.21559923920534,2.93343399426584,0.762951911259945
"79","1","4","S",2019-10-27,"Autumn",2019,50.64850402,0.785553565,"[50.6,52.0)","1 4 S","1 4 S 2019-10-27",8,1.84112743425779,1.49321092135798,1.00158668252081
"80","1","5","R",2022-04-01,"Spring",2022,50.00503379,0.758890195,"[49.8,50.6)","1 5 R","1 5 R 2022-04-01",6,2.48366240423911,1.8805572806714,0.623248287689227
"81","1","5","R",2021-10-09,"Autumn",2021,50.00503379,0.758890195,"[49.8,50.6)","1 5 R","1 5 R 2021-10-09",8,2.45392726673852,1.82179037240582,0.982514858570841
"82","1","5","R",2020-04-12,"Spring",2020,50.00503379,0.758890195,"[49.8,50.6)","1 5 R","1 5 R 2020-04-12",8,2.74162282346517,2.36894024842456,0.570685753387568
"83","1","5","R",2021-07-13,"Summer",2021,50.00503379,0.758890195,"[49.8,50.6)","1 5 R","1 5 R 2021-07-13",7,4.24977954280932,3.6236083235316,0.899125290193254
"84","1","5","R",2020-10-17,"Autumn",2020,50.00503379,0.758890195,"[49.8,50.6)","1 5 R","1 5 R 2020-10-17",11,3.55287087822418,3.01161331631815,0.720490067137991
"85","1","5","R",2022-01-20,"Winter",2022,50.00503379,0.758890195,"[49.8,50.6)","1 5 R","1 5 R 2022-01-20",6,2.18391644009152,1.69241205703914,0.764880752079467
"86","1","5","R",2020-01-21,"Winter",2020,50.00503379,0.758890195,"[49.8,50.6)","1 5 R","1 5 R 2020-01-21",7,2.53396770538505,2.2248785441853,0.79099895896406
"87","1","5","R",2021-04-27,"Spring",2021,50.00503379,0.758890195,"[49.8,50.6)","1 5 R","1 5 R 2021-04-27",7,3.73234520689611,3.19597215782981,0.451996363789626
"88","1","5","R",2019-10-27,"Autumn",2019,50.00503379,0.758890195,"[49.8,50.6)","1 5 R","1 5 R 2019-10-27",9,2.40247813675646,2.12705159472065,0.882868632018919
"89","1","5","S",2022-04-01,"Spring",2022,49.97881365,0.75763141,"[49.8,50.6)","1 5 S","1 5 S 2022-04-01",5,1.27290046025627,1.09987208390279,0.877622738840055
"90","1","5","S",2021-10-09,"Autumn",2021,49.97881365,0.75763141,"[49.8,50.6)","1 5 S","1 5 S 2021-10-09",6,1.42205192028632,1.17264009756727,1.19916585997062
"91","1","5","S",2020-04-12,"Spring",2020,49.97881365,0.75763141,"[49.8,50.6)","1 5 S","1 5 S 2020-04-12",8,3.89723498571732,3.07128905804052,0.90104435196195
"92","1","5","S",2021-07-13,"Summer",2021,49.97881365,0.75763141,"[49.8,50.6)","1 5 S","1 5 S 2021-07-13",5,2.2873796844203,1.7165701509916,0.227280108926891
"93","1","5","S",2020-10-17,"Autumn",2020,49.97881365,0.75763141,"[49.8,50.6)","1 5 S","1 5 S 2020-10-17",11,6.57964135045318,5.80025455478222,0.728171714472326
"94","1","5","S",2022-01-20,"Winter",2022,49.97881365,0.75763141,"[49.8,50.6)","1 5 S","1 5 S 2022-01-20",5,1.18812629309056,1.06710055469551,1.06383648103411
"95","1","5","S",2020-01-21,"Winter",2020,49.97881365,0.75763141,"[49.8,50.6)","1 5 S","1 5 S 2020-01-21",8,2.87884290999431,2.30614290774101,0.912636860879905
"96","1","5","S",2021-04-27,"Spring",2021,49.97881365,0.75763141,"[49.8,50.6)","1 5 S","1 5 S 2021-04-27",7,3.47768136636038,2.82130165589438,0.488808993053383
"97","1","5","S",2019-10-27,"Autumn",2019,49.97881365,0.75763141,"[49.8,50.6)","1 5 S","1 5 S 2019-10-27",7,3.46034165816404,2.87368585602628,1.10936587395957
"98","1","6","R",2022-04-01,"Spring",2022,49.55701458,0.735054731,"[48.7,49.8)","1 6 R","1 6 R 2022-04-01",10,3.42344962636164,2.08630557667272,0.531282071165374
"99","1","6","R",2021-10-09,"Autumn",2021,49.55701458,0.735054731,"[48.7,49.8)","1 6 R","1 6 R 2021-10-09",11,5.09486667137514,4.24209492950866,0.73742354412231
"100","1","6","R",2020-04-12,"Spring",2020,49.55701458,0.735054731,"[48.7,49.8)","1 6 R","1 6 R 2020-04-12",9,2.92555506206751,2.2028393090689,0.5443389587639
"101","1","6","R",2021-07-13,"Summer",2021,49.55701458,0.735054731,"[48.7,49.8)","1 6 R","1 6 R 2021-07-13",12,4.56951774672438,2.68784637022238,0.855145848668802
"102","1","6","R",2020-10-17,"Autumn",2020,49.55701458,0.735054731,"[48.7,49.8)","1 6 R","1 6 R 2020-10-17",17,7.10184102330979,5.71947686462168,0.91646935408279
"103","1","6","R",2022-01-20,"Winter",2022,49.55701458,0.735054731,"[48.7,49.8)","1 6 R","1 6 R 2022-01-20",13,4.44954684775051,2.6161144157929,0.555057558276074
"104","1","6","R",2020-01-21,"Winter",2020,49.55701458,0.735054731,"[48.7,49.8)","1 6 R","1 6 R 2020-01-21",8,3.15833517409363,2.26715297208087,0.697187450019467
"105","1","6","R",2021-04-27,"Spring",2021,49.55701458,0.735054731,"[48.7,49.8)","1 6 R","1 6 R 2021-04-27",9,6.44246913675214,5.4947042271744,0.309898699807169
"106","1","6","R",2019-10-27,"Autumn",2019,49.55701458,0.735054731,"[48.7,49.8)","1 6 R","1 6 R 2019-10-27",9,4.65210870318243,3.28898110865576,0.894117850962722
"107","1","6","S",2022-04-01,"Spring",2022,49.57063031,0.73585747,"[48.7,49.8)","1 6 S","1 6 S 2022-04-01",8,4.02498308306084,3.10155981378688,0.282354176277046
"108","1","6","S",2021-10-09,"Autumn",2021,49.57063031,0.73585747,"[48.7,49.8)","1 6 S","1 6 S 2021-10-09",15,6.25726446574003,4.44422294278021,1.04287544132443
"109","1","6","S",2020-04-12,"Spring",2020,49.57063031,0.73585747,"[48.7,49.8)","1 6 S","1 6 S 2020-04-12",6,1.62654751685258,1.30910471489302,0.553575505350773
"110","1","6","S",2021-07-13,"Summer",2021,49.57063031,0.73585747,"[48.7,49.8)","1 6 S","1 6 S 2021-07-13",11,3.41443967322763,2.519624321321,1.11164852536988
"111","1","6","S",2020-10-17,"Autumn",2020,49.57063031,0.73585747,"[48.7,49.8)","1 6 S","1 6 S 2020-10-17",14,5.30944226725799,4.10910947474355,0.93974079411068
"112","1","6","S",2022-01-20,"Winter",2022,49.57063031,0.73585747,"[48.7,49.8)","1 6 S","1 6 S 2022-01-20",8,5.05633753004411,4.13761463301813,0.323375805242372
"113","1","6","S",2020-07-20,"Summer",2020,49.57063031,0.73585747,"[48.7,49.8)","1 6 S","1 6 S 2020-07-20",14,6.03533422707417,4.79922436844519,1.13921920595581
"114","1","6","S",2020-01-21,"Winter",2020,49.57063031,0.73585747,"[48.7,49.8)","1 6 S","1 6 S 2020-01-21",8,1.45199037642463,1.20452171615914,0.775428656361474
"115","1","6","S",2021-04-27,"Spring",2021,49.57063031,0.73585747,"[48.7,49.8)","1 6 S","1 6 S 2021-04-27",3,2.4602329762891,2.13333333333333,0.0160642570281125
"116","1","6","S",2019-10-27,"Autumn",2019,49.57063031,0.73585747,"[48.7,49.8)","1 6 S","1 6 S 2019-10-27",10,1.50824341269093,1.20142029882691,0.876590725326992
"117","1","7","R",2022-04-01,"Spring",2022,48.94863176,0.693257693,"[48.7,49.8)","1 7 R","1 7 R 2022-04-01",14,5.92319413793761,4.33708268804294,0.439775687756678
"118","1","7","R",2021-10-09,"Autumn",2021,48.94863176,0.693257693,"[48.7,49.8)","1 7 R","1 7 R 2021-10-09",17,7.71240346477565,6.01077721509361,0.63325985792116
"119","1","7","R",2020-04-12,"Spring",2020,48.94863176,0.693257693,"[48.7,49.8)","1 7 R","1 7 R 2020-04-12",8,4.73775132539118,3.42270229747728,0.436059782497862
"120","1","7","R",2021-07-13,"Summer",2021,48.94863176,0.693257693,"[48.7,49.8)","1 7 R","1 7 R 2021-07-13",11,2.16209705753866,1.47014827791843,0.902825644483214
"121","1","7","R",2020-10-17,"Autumn",2020,48.94863176,0.693257693,"[48.7,49.8)","1 7 R","1 7 R 2020-10-17",14,3.16684347252376,2.0391012921103,0.647225971385014
"122","1","7","R",2022-01-20,"Winter",2022,48.94863176,0.693257693,"[48.7,49.8)","1 7 R","1 7 R 2022-01-20",13,5.80702643373425,4.78512865472363,0.586529140590242
"123","1","7","R",2020-01-21,"Winter",2020,48.94863176,0.693257693,"[48.7,49.8)","1 7 R","1 7 R 2020-01-21",11,5.10324893221197,3.90407811930593,0.701307477247221
"124","1","7","R",2021-04-27,"Spring",2021,48.94863176,0.693257693,"[48.7,49.8)","1 7 R","1 7 R 2021-04-27",9,4.88789119324578,3.95876146233796,0.0772660990458276
"125","1","7","S",2022-04-01,"Spring",2022,48.95279992,0.693587075,"[48.7,49.8)","1 7 S","1 7 S 2022-04-01",9,2.09474439358207,1.47334002319542,0.427532271586254
"126","1","7","S",2021-10-09,"Autumn",2021,48.95279992,0.693587075,"[48.7,49.8)","1 7 S","1 7 S 2021-10-09",11,5.1216358356502,4.13077756252018,0.82459555607087
"127","1","7","S",2020-04-12,"Spring",2020,48.95279992,0.693587075,"[48.7,49.8)","1 7 S","1 7 S 2020-04-12",4,2.71100014820039,2.28881609042228,0.0903632580261594
"128","1","7","S",2021-07-13,"Summer",2021,48.95279992,0.693587075,"[48.7,49.8)","1 7 S","1 7 S 2021-07-13",8,1.7675513601491,1.32885335237841,1.18631767543478
"129","1","7","S",2020-10-17,"Autumn",2020,48.95279992,0.693587075,"[48.7,49.8)","1 7 S","1 7 S 2020-10-17",14,3.06529597971887,2.25741117746803,1.11740214030916
"130","1","7","S",2022-01-20,"Winter",2022,48.95279992,0.693587075,"[48.7,49.8)","1 7 S","1 7 S 2022-01-20",11,3.75207594179492,2.69555417679636,0.574499703335376
"131","1","7","S",2020-07-20,"Summer",2020,48.95279992,0.693587075,"[48.7,49.8)","1 7 S","1 7 S 2020-07-20",8,2.59658315336482,1.8005425149023,1.69922239610678
"132","1","7","S",2020-01-21,"Winter",2020,48.95279992,0.693587075,"[48.7,49.8)","1 7 S","1 7 S 2020-01-21",6,3.31472314716206,2.56304644410093,0.0918131985731272
"133","1","7","S",2021-04-27,"Spring",2021,48.95279992,0.693587075,"[48.7,49.8)","1 7 S","1 7 S 2021-04-27",4,3.54940972615733,3.24912882196909,0.0152934051217774
"134","1","7","S",2019-10-27,"Autumn",2019,48.95279992,0.693587075,"[48.7,49.8)","1 7 S","1 7 S 2019-10-27",9,2.96913292034856,1.89180257267542,0.560325802615933
"135","2","1","R",2022-04-01,"Spring",2022,52.88969469,0.858086046,"[52.0,54.2]","2 1 R","2 1 R 2022-04-01",6,2.94036981099151,2.37734342356206,0.795173340469366
"136","2","1","R",2021-10-09,"Autumn",2021,52.88969469,0.858086046,"[52.0,54.2]","2 1 R","2 1 R 2021-10-09",9,2.9188073483876,2.22415490827969,0.906426041649576
"137","2","1","R",2020-04-12,"Spring",2020,52.88969469,0.858086046,"[52.0,54.2]","2 1 R","2 1 R 2020-04-12",7,2.26311925719352,1.93908942412285,0.711758926043812
"138","2","1","R",2021-01-13,"Winter",2021,52.88969469,0.858086046,"[52.0,54.2]","2 1 R","2 1 R 2021-01-13",8,3.39039615557197,2.6241373542832,0.745587401721707
"139","2","1","R",2021-07-13,"Summer",2021,52.88969469,0.858086046,"[52.0,54.2]","2 1 R","2 1 R 2021-07-13",8,2.47409449966613,1.79214083740542,0.830146382727503
"140","2","1","R",2020-10-17,"Autumn",2020,52.88969469,0.858086046,"[52.0,54.2]","2 1 R","2 1 R 2020-10-17",7,3.08376541533156,2.34571503820508,0.861786057114165
"141","2","1","R",2022-01-20,"Winter",2022,52.88969469,0.858086046,"[52.0,54.2]","2 1 R","2 1 R 2022-01-20",7,2.96925111114468,2.3229085219012,0.831084749654959
"142","2","1","R",2020-07-20,"Summer",2020,52.88969469,0.858086046,"[52.0,54.2]","2 1 R","2 1 R 2020-07-20",11,3.42390141859165,2.49612930504771,1.01026955234048
"143","2","1","R",2020-01-21,"Winter",2020,52.88969469,0.858086046,"[52.0,54.2]","2 1 R","2 1 R 2020-01-21",6,2.33470020386843,2.0653010813354,0.837934797834162
"144","2","1","R",2021-04-27,"Spring",2021,52.88969469,0.858086046,"[52.0,54.2]","2 1 R","2 1 R 2021-04-27",7,3.57395034380253,2.76530588613631,0.698809250403139
"145","2","1","R",2019-10-27,"Autumn",2019,52.88969469,0.858086046,"[52.0,54.2]","2 1 R","2 1 R 2019-10-27",8,3.05399834276963,2.48223726928055,1.00436451797355
"146","2","2","R",2022-04-01,"Spring",2022,51.75520539,0.820286199,"[50.6,52.0)","2 2 R","2 2 R 2022-04-01",4,2.81304895571484,2.47968690731271,1.00408300956766
"147","2","2","R",2021-10-09,"Autumn",2021,51.75520539,0.820286199,"[50.6,52.0)","2 2 R","2 2 R 2021-10-09",4,2.48233049168729,2.20747910145923,1.06676072652267
"148","2","2","R",2020-04-12,"Spring",2020,51.75520539,0.820286199,"[50.6,52.0)","2 2 R","2 2 R 2020-04-12",5,1.98056220546591,1.66589602030476,0.870002132071453
"149","2","2","R",2021-01-13,"Winter",2021,51.75520539,0.820286199,"[50.6,52.0)","2 2 R","2 2 R 2021-01-13",8,2.81711486194493,2.265571823974,0.71624812921766
